TITLE|BLUETOOTH_VERSION|USB_VERSION|DEVICE_TYPE|SIM_CARD_SLOT|OS|OS_BITS|SIM_CARD_TYPE|BRAND|MODEL|PRICE|WIRELESS_CONNECTIVITY|NETWORK_4G|NETWORK_3G|NETWORK_2G|NETWORK_TYPE|WIFI|BATTERY_CAPACITY|BATTERY_TYPE|RAM_CAPACITY|RAM_TYPE|GPU|CPU|CPU_FREQ|CPU_CORES|EXTERNAL_MEMORY|STORAGE_SSD|STORAGE_HDD|CAMERA_FRONT|CAMERA_BACK|WEIGHT|PRODUCT_SIZE|SCREEN_SIZE|SCREEN_PPI|SCREEN_TYPE|SCREEN_RESOLUTION|COLOR|ETHERNET_SPEED
apple macbook 12 mlhe2 zp-a gold|yes, v4.0|2 x v3.0|||apple mac os x el capitan|||||1143 €||||||wi-fi 802.11 a/b/g/n|non-removable li-ion 41.4 wh battery||8 gb ram||intel iris graphics 515|intel core m3||dual-core 1.1 ghz (turbo boost up to 2.2ghz) with 4mb l3 cache||256 gb||||920 g|28.05 x 19.65. x 1.31 cm|12 inches||led-backlit ips retina display|2304 x 1440 pixels|grey, gold|
apple macbook 12 mlh72 zp-a gray|yes, v4.0|2 x v3.0|||apple mac os x el capitan|||||1183 €||||||wi-fi 802.11 a/b/g/n|non-removable li-ion 41.4 wh battery||8 gb ram||intel iris graphics 515|intel core m3||dual-core 1.1 ghz (turbo boost up to 2.2ghz) with 4mb l3 cache||256 gb||||920 g|28.05 x 19.65. x 1.31 cm|12 inches||led-backlit ips retina display|2304 x 1440 pixels|grey, gold|
apple macbook air 13 (2017) mqd32 zp-a silver|yes, v4.0|2 x v3.0, thunderbolt 2 port|||apple mac os sierra|||||969 €||||||wi-fi 802.11 a/b/g/n/ac|non-removable li-ion 54 wh battery||8 gb ram||intel hd graphics 6000|intel core i5||dual-core 1.8 ghz (turbo boost up to 2.9 ghz) with 3mb shared l3 cache|sdxc card slot|128 gb||||1350 g|32.5 x 22.7 x 1.7 cm|13.3 inches||led-backlit glossy|1440 x 900 pixels|silver|
apple apple macbook 12 inch mnyf2 zp-a gray|yes, v4.2|2 x (thunderbolt 3) v3.1 gen. 2 (usb-c)|||apple mac os sierra|||||1319 €||||||wi-fi 802.11 a/b/g/n|non-removable li-ion 41.4 wh battery||8 gb ram||intel iris graphics 615|intel core m3||dual-core 1.6 ghz (turbo boost up to 3.0 ghz) with 4mb l3 cache||256 gb||||920 g|28.05 x 19.65. x 1.31 cm|12 inches||led-backlit display with ips technology|2304 x 1440 pixels|grey|
apple macbook 12 mmgm2 zp-a rose gold|yes, v4.0|2 x v3.0|||apple mac os x el capitan|||||1413 €||||||wi-fi 802.11 a/b/g/n|non-removable li-ion 41.4 wh battery||8 gb ram||intel iris graphics 515|intel core m5||dual-core 1.2 ghz (turbo boost up to 2.7ghz) with 4mb l3 cache||512 gb||||920 g|28.05 x 19.65. x 1.31 cm|12 inches||led-backlit ips retina display|2304 x 1440 pixels|grey, gold|
apple macbook 12 mlha2 zp-a silver|yes, v4.0|2 x v3.0|||apple mac os x el capitan|||||1166 €||||||wi-fi 802.11 a/b/g/n|non-removable li-ion 41.4 wh battery||8 gb ram||intel iris graphics 515|intel core m3||dual-core 1.1 ghz (turbo boost up to 2.2ghz) with 4mb l3 cache||256 gb||||920 g|28.05 x 19.65. x 1.31 cm|12 inches||led-backlit ips retina display|2304 x 1440 pixels|grey, gold|
apple macbook 12 mf855 zp/a silver|yes, v4.0|2 x v3.0|||apple mac os x yosemite|||||1131 €||||||wi-fi 802.11 a/b/g/n|non-removable li-ion 39.7 wh battery||8 gb ram||intel iris graphics 5300|intel core m||dual-core 1.1 ghz|no|256 gb||||920 g|28 x 19. x 1.8 cm|12 inches||led-backlit ips|2304 x 1440 pixels|silver|
apple macbook pro 13 mll42 zp-a gray|yes, v4.2|2 x (thunderbolt 3) v3.1 gen. 2 (usb-c)|||apple mac os x mavericks|||||1428 €||||||wi-fi 802.11 a/b/g/n|non-removable li-ion 54.4 wh battery||8 gb ram||intel iris graphics 540|intel core i5 processor 4th gen||dual-core 2.0 ghz intel core i5 (turbo boost up to 3.1 ghz) with 4mb l3 cache||256 gb||||1370 g|31.4 x 21.2 x 1.4 cm|13.3 inches||ips led-backlit|2560 x 1600 pixels|grey|
apple macbook 12 mlh82 zp-a gray|yes, v4.0|2 x v3.0|||apple mac os x el capitan|||||1540 €||||||wi-fi 802.11 a/b/g/n|non-removable li-ion 41.4 wh battery||8 gb ram||intel iris graphics 515|intel core m5||dual-core 1.2 ghz (turbo boost up to 2.7ghz) with 4mb l3 cache||512 gb||||920 g|28.05 x 19.65. x 1.31 cm|12 inches||led-backlit ips retina display|2304 x 1440 pixels|grey, gold|
apple macbook air 13 (2017) mqd42 zp-a silver|yes, v4.0|2 x v3.0, thunderbolt 2 port|||apple mac os sierra|||||1179 €||||||wi-fi 802.11 a/b/g/n/ac|non-removable li-ion 54 wh battery||8 gb ram||intel hd graphics 6000|intel core i5||dual-core 1.8 ghz (turbo boost up to 2.9 ghz) with 3mb shared l3 cache|sdxc card slot|256 gb||||1350 g|32.5 x 22.7 x 1.7 cm|13.3 inches||led-backlit glossy|1440 x 900 pixels|silver|
