@RELATION phones

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE numberOfNumericCharacters NUMERIC
@ATTRIBUTE numberOfWhiteSpaceCharacters NUMERIC
@ATTRIBUTE numberOfSpecialCharacters NUMERIC
@ATTRIBUTE isNumericValue {true, false}
@ATTRIBUTE isIntegralNumericValue {true, false}
@ATTRIBUTE isDecimalNumericValue {true, false}
@ATTRIBUTE isPrefixedNumber {true, false}
@ATTRIBUTE isPostfixedNumber {true, false}
@ATTRIBUTE class {Hardware.CPU,Hardware.GPU,BasicInformation.ServiceProvider,Camera.Frontcamera,Battery.BatteryCapacity(mAh),root.price,Network.Networktype,BasicInformation.Type,Network.WirelessConnectivity,Network.WIFI,Network.3G,Hardware.ExternalMemory,Camera.Back-camera,Display.Screenresolution,root.title,Display.Screentype,Display.PixelsPerInch(PPI),Hardware.Cores,DimensionsandWeight.Productsize,BasicInformation.SIMCardType,OtherFeatures.BluetoothVersion,Hardware.ROM,DimensionsandWeight.Productweight,BasicInformation.SIMCardSlot,Display.Screensize,BasicInformation.OS,BasicInformation.Brand,Battery.BatteryType,Network.2G,Network.4G,Hardware.RAM}

@data
5,29,21,4,4,0,false,false,false,false,false,root.title
2,14,10,2,1,1,false,false,false,true,false,OtherFeatures.BluetoothVersion
2,13,11,1,1,0,false,false,false,false,true,BasicInformation.Type
3,21,18,0,2,1,false,false,false,false,false,BasicInformation.SIMCardSlot
2,6,4,1,1,0,false,false,false,true,false,BasicInformation.OS
3,13,11,0,2,0,false,false,false,false,false,BasicInformation.SIMCardType
1,6,6,0,0,0,false,false,false,false,false,BasicInformation.Brand
1,8,8,0,0,0,false,false,false,false,false,BasicInformation.ServiceProvider
1,7,0,5,0,2,false,false,false,true,false,root.price
1,24,16,2,0,6,false,false,false,false,false,Network.WirelessConnectivity
2,25,9,12,1,3,false,false,false,false,false,Network.4G
2,26,8,14,1,3,false,false,false,false,false,Network.3G
2,24,6,14,1,3,false,false,false,false,false,Network.2G
1,17,14,0,0,3,false,false,false,false,false,Network.Networktype
3,31,20,5,2,4,false,false,false,false,true,Network.WIFI
1,7,3,4,0,0,false,false,false,false,true,Battery.BatteryCapacity(mAh)
3,41,36,0,2,3,false,false,false,false,false,Battery.BatteryType
2,7,5,1,1,0,false,false,false,false,true,Hardware.RAM
2,10,6,3,1,0,false,false,false,true,false,Hardware.GPU
3,23,18,3,2,0,false,false,false,true,false,Hardware.CPU
2,17,11,3,1,2,false,false,false,false,true,Hardware.Cores
2,13,12,0,1,0,false,false,false,false,false,Hardware.ExternalMemory
1,4,2,2,0,0,false,false,false,false,true,Hardware.ROM
1,5,2,2,0,1,false,false,false,false,true,Camera.Frontcamera
3,17,9,4,2,2,false,false,false,false,false,Camera.Back-camera
