Configuration	ErrorRate	Precision	Recall	F-Measure
{ConfidenceFactor=0.4, MinNumObj=1, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	10.73%	88.90%	89.27%	88.99%
{ConfidenceFactor=0.4, MinNumObj=1, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	10.73%	88.90%	89.27%	88.99%
{ConfidenceFactor=0.4, MinNumObj=1, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	10.74%	88.90%	89.26%	88.98%
{ConfidenceFactor=0.4, MinNumObj=1, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	10.74%	88.90%	89.26%	88.98%
{ConfidenceFactor=0.4, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	10.78%	88.91%	89.22%	88.96%
{ConfidenceFactor=0.4, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	10.78%	88.91%	89.22%	88.96%
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	10.86%	88.93%	89.14%	88.95%
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	10.86%	88.93%	89.14%	88.95%
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	10.86%	88.93%	89.14%	88.95%
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	10.86%	88.93%	89.14%	88.95%
{ConfidenceFactor=0.2, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	10.86%	88.93%	89.14%	88.95%
{ConfidenceFactor=0.2, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	10.86%	88.93%	89.14%	88.95%
{ConfidenceFactor=0.2, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	10.86%	88.93%	89.14%	88.95%
{ConfidenceFactor=0.2, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	10.86%	88.93%	89.14%	88.95%
{ConfidenceFactor=0.3, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	10.86%	88.93%	89.14%	88.95%
{ConfidenceFactor=0.3, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	10.86%	88.93%	89.14%	88.95%
{ConfidenceFactor=0.3, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	10.86%	88.93%	89.14%	88.95%
{ConfidenceFactor=0.3, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	10.86%	88.93%	89.14%	88.95%
{ConfidenceFactor=0.4, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	10.86%	88.93%	89.14%	88.95%
