Configuration	ErrorRate	Precision	Recall	F-Measure
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=800, Decay=false, NormalizeAttributes=true}	14.57%	84.52%	85.43%	84.75%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.5, TrainingTime=800, Decay=false, NormalizeAttributes=true}	14.59%	85.22%	85.41%	85.09%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=800, Decay=false, NormalizeAttributes=true}	14.93%	84.28%	85.07%	84.52%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.1, TrainingTime=800, Decay=false, NormalizeAttributes=true}	15.09%	84.49%	84.91%	84.42%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.1, TrainingTime=800, Decay=false, NormalizeAttributes=true}	15.30%	84.10%	84.70%	84.12%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.1, TrainingTime=600, Decay=false, NormalizeAttributes=true}	15.30%	83.72%	84.70%	84.00%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=600, Decay=false, NormalizeAttributes=true}	15.35%	83.79%	84.65%	83.97%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=600, Decay=false, NormalizeAttributes=true}	15.39%	83.94%	84.61%	83.98%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.5, TrainingTime=600, Decay=false, NormalizeAttributes=true}	15.58%	83.77%	84.42%	83.83%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=600, Decay=false, NormalizeAttributes=true}	15.65%	83.50%	84.35%	83.70%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=400, Decay=false, NormalizeAttributes=true}	15.87%	83.27%	84.13%	83.43%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=600, Decay=false, NormalizeAttributes=true}	16.02%	83.39%	83.98%	83.43%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=800, Decay=false, NormalizeAttributes=true}	16.02%	83.27%	83.98%	83.37%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=800, Decay=false, NormalizeAttributes=true}	16.06%	83.69%	83.94%	83.67%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.1, TrainingTime=600, Decay=false, NormalizeAttributes=true}	16.13%	82.87%	83.87%	83.13%
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.30000000000000004, TrainingTime=800, Decay=false, NormalizeAttributes=true}	16.19%	83.00%	83.81%	83.09%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.5, TrainingTime=800, Decay=false, NormalizeAttributes=true}	16.30%	82.61%	83.70%	82.88%
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.5, TrainingTime=400, Decay=false, NormalizeAttributes=true}	16.49%	82.52%	83.51%	82.67%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.1, TrainingTime=400, Decay=false, NormalizeAttributes=true}	16.49%	82.31%	83.51%	82.66%
{HiddenLayers=a,t, LearningRate=0.5, Momentum=0.30000000000000004, TrainingTime=600, Decay=false, NormalizeAttributes=true}	16.69%	82.08%	83.31%	82.40%
