Configuration	ErrorRate	Precision	Recall	F-Measure
{BatchSize=80, MaxDepth=15, NumFeatures=3, NumBaggingIterations=90, BreakTiesRandomly=true}	9.39%	90.07%	90.61%	90.21%
{BatchSize=90, MaxDepth=15, NumFeatures=3, NumBaggingIterations=90, BreakTiesRandomly=true}	9.39%	90.07%	90.61%	90.21%
{BatchSize=100, MaxDepth=15, NumFeatures=3, NumBaggingIterations=90, BreakTiesRandomly=true}	9.39%	90.07%	90.61%	90.21%
{BatchSize=110, MaxDepth=15, NumFeatures=3, NumBaggingIterations=90, BreakTiesRandomly=true}	9.39%	90.07%	90.61%	90.21%
{BatchSize=120, MaxDepth=15, NumFeatures=3, NumBaggingIterations=90, BreakTiesRandomly=true}	9.39%	90.07%	90.61%	90.21%
{BatchSize=80, MaxDepth=15, NumFeatures=3, NumBaggingIterations=80, BreakTiesRandomly=true}	9.39%	90.06%	90.61%	90.21%
{BatchSize=90, MaxDepth=15, NumFeatures=3, NumBaggingIterations=80, BreakTiesRandomly=true}	9.39%	90.06%	90.61%	90.21%
{BatchSize=100, MaxDepth=15, NumFeatures=3, NumBaggingIterations=80, BreakTiesRandomly=true}	9.39%	90.06%	90.61%	90.21%
{BatchSize=110, MaxDepth=15, NumFeatures=3, NumBaggingIterations=80, BreakTiesRandomly=true}	9.39%	90.06%	90.61%	90.21%
{BatchSize=120, MaxDepth=15, NumFeatures=3, NumBaggingIterations=80, BreakTiesRandomly=true}	9.39%	90.06%	90.61%	90.21%
{BatchSize=80, MaxDepth=15, NumFeatures=3, NumBaggingIterations=110, BreakTiesRandomly=true}	9.40%	90.05%	90.60%	90.20%
{BatchSize=90, MaxDepth=15, NumFeatures=3, NumBaggingIterations=110, BreakTiesRandomly=true}	9.40%	90.05%	90.60%	90.20%
{BatchSize=100, MaxDepth=15, NumFeatures=3, NumBaggingIterations=110, BreakTiesRandomly=true}	9.40%	90.05%	90.60%	90.20%
{BatchSize=110, MaxDepth=15, NumFeatures=3, NumBaggingIterations=110, BreakTiesRandomly=true}	9.40%	90.05%	90.60%	90.20%
{BatchSize=120, MaxDepth=15, NumFeatures=3, NumBaggingIterations=110, BreakTiesRandomly=true}	9.40%	90.05%	90.60%	90.20%
{BatchSize=80, MaxDepth=15, NumFeatures=4, NumBaggingIterations=80, BreakTiesRandomly=false}	9.41%	90.09%	90.59%	90.22%
{BatchSize=90, MaxDepth=15, NumFeatures=4, NumBaggingIterations=80, BreakTiesRandomly=false}	9.41%	90.09%	90.59%	90.22%
{BatchSize=100, MaxDepth=15, NumFeatures=4, NumBaggingIterations=80, BreakTiesRandomly=false}	9.41%	90.09%	90.59%	90.22%
{BatchSize=110, MaxDepth=15, NumFeatures=4, NumBaggingIterations=80, BreakTiesRandomly=false}	9.41%	90.09%	90.59%	90.22%
{BatchSize=120, MaxDepth=15, NumFeatures=4, NumBaggingIterations=80, BreakTiesRandomly=false}	9.41%	90.09%	90.59%	90.22%
{BatchSize=80, MaxDepth=15, NumFeatures=4, NumBaggingIterations=90, BreakTiesRandomly=true}	9.41%	90.07%	90.59%	90.21%
