@RELATION tablets

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE numberOfNumericCharacters NUMERIC
@ATTRIBUTE numberOfWhiteSpaceCharacters NUMERIC
@ATTRIBUTE numberOfSpecialCharacters NUMERIC
@ATTRIBUTE isNumericValue {true, false}
@ATTRIBUTE isIntegralNumericValue {true, false}
@ATTRIBUTE isDecimalNumericValue {true, false}
@ATTRIBUTE isPrefixedNumber {true, false}
@ATTRIBUTE isPostfixedNumber {true, false}
@ATTRIBUTE class {BLUETOOTH_VERSION,CPU,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,EXTERNAL_MEMORY,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,SIM_CARD_TYPE,BRAND,SCREEN_SIZE,ROM,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,TITLE,WIFI,RAM}

@data
5,27,20,3,4,0,false,false,false,false,false,TITLE
0,0,0,0,0,0,false,false,false,false,false,DEVICE_TYPE
2,11,7,2,1,1,false,false,false,true,false,OS
1,6,0,4,0,2,false,false,false,true,false,PRICE
1,8,1,7,0,0,false,false,false,false,false,SCREEN_RESOLUTION
2,13,10,2,1,0,false,false,false,true,false,CPU
2,9,8,0,1,0,false,false,false,false,false,CPU_CORES
2,9,2,5,1,1,false,false,false,false,true,WEIGHT
12,50,12,19,12,7,false,false,false,false,false,PRODUCT_SIZE
1,5,2,3,0,0,false,false,false,false,true,RAM
1,7,3,4,0,0,false,false,false,false,true,BATTERY_CAPACITY
1,3,2,1,0,0,false,false,false,false,true,ROM
8,30,21,2,7,0,false,false,false,false,false,TITLE
2,22,19,0,1,2,false,false,false,false,false,DEVICE_TYPE
2,10,7,2,1,0,false,false,false,true,false,OS
1,4,4,0,0,0,false,false,false,false,false,BRAND
1,7,0,5,0,2,false,false,false,true,false,PRICE
4,36,24,5,3,4,false,false,false,false,false,WIFI
1,5,2,2,0,1,false,false,false,false,true,CAMERA_FRONT
3,13,8,2,2,1,false,false,false,false,true,CAMERA_BACK
2,9,4,3,1,1,false,false,false,false,true,SCREEN_SIZE
2,25,18,2,1,4,false,false,false,false,false,SCREEN_TYPE
4,17,4,8,3,2,false,false,false,false,false,SCREEN_RESOLUTION
4,21,15,3,3,0,false,false,false,true,false,GPU
5,28,19,4,4,1,false,false,false,false,false,CPU
2,17,11,3,1,2,false,false,false,false,true,CPU_CORES
2,9,2,5,1,1,false,false,false,false,true,WEIGHT
12,52,12,21,12,7,false,false,false,false,false,PRODUCT_SIZE
1,3,2,1,0,0,false,false,false,false,true,RAM
7,34,23,3,6,2,false,false,false,false,false,EXTERNAL_MEMORY
4,34,19,6,5,4,false,false,false,false,false,BATTERY_CAPACITY
1,5,2,3,0,0,false,false,false,false,true,ROM
4,20,13,4,3,0,false,false,false,false,false,TITLE
1,7,7,0,0,0,false,false,false,false,false,DEVICE_TYPE
2,11,7,2,1,1,false,false,false,true,false,OS
1,4,4,0,0,0,false,false,false,false,false,BRAND
1,7,0,5,0,2,false,false,false,true,false,PRICE
2,24,9,11,1,3,false,false,false,false,false,NETWORK_4G
2,22,8,11,1,2,false,false,false,false,false,NETWORK_3G
2,24,6,14,1,3,false,false,false,false,false,NETWORK_2G
3,29,19,5,2,3,false,false,false,false,true,WIFI
1,5,2,2,0,1,false,false,false,false,true,CAMERA_FRONT
2,9,4,3,1,1,false,false,false,false,true,SCREEN_SIZE
2,20,15,1,1,3,false,false,false,false,false,SCREEN_TYPE
4,19,6,8,3,2,false,false,false,false,false,SCREEN_RESOLUTION
2,11,6,3,1,1,false,false,false,false,false,GPU
1,7,3,4,0,0,false,false,false,true,false,CPU
2,17,11,3,1,2,false,false,false,false,true,CPU_CORES
2,9,2,5,1,1,false,false,false,false,true,WEIGHT
12,51,12,20,12,7,false,false,false,false,false,PRODUCT_SIZE
1,3,2,1,0,0,false,false,false,false,true,RAM
5,38,23,6,5,4,false,false,false,false,false,BATTERY_CAPACITY
1,4,2,2,0,0,false,false,false,false,true,ROM
