@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
5,29,21,TITLE
2,14,10,BLUETOOTH_VERSION
2,13,11,DEVICE_TYPE
3,21,18,SIM_CARD_SLOT
2,6,4,OS
3,13,11,SIM_CARD_TYPE
1,6,6,BRAND
1,7,0,PRICE
1,24,16,WIRELESS_CONNECTIVITY
2,25,9,NETWORK_4G
2,26,8,NETWORK_3G
2,24,6,NETWORK_2G
1,17,14,NETWORK_TYPE
3,31,20,WIFI
1,7,3,BATTERY_CAPACITY
3,41,36,BATTERY_TYPE
2,7,5,RAM_CAPACITY
2,10,6,GPU
3,23,18,CPU
2,17,11,CPU_CORES
2,13,12,EXTERNAL_MEMORY
1,4,2,STORAGE_SSD
1,5,2,CAMERA_FRONT
3,17,9,CAMERA_BACK
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
2,9,4,SCREEN_SIZE
1,3,0,SCREEN_PPI
1,10,10,SCREEN_TYPE
4,17,4,SCREEN_RESOLUTION
5,34,25,TITLE
1,4,1,BLUETOOTH_VERSION
2,11,7,OS
3,14,12,SIM_CARD_TYPE
1,9,9,BRAND
1,7,0,PRICE
1,32,24,WIRELESS_CONNECTIVITY
27,197,91,NETWORK_4G
11,82,45,NETWORK_3G
5,45,24,NETWORK_2G
1,34,27,NETWORK_TYPE
2,16,10,BATTERY_CAPACITY
2,7,5,RAM_CAPACITY
1,7,3,CPU
2,16,11,CPU_CORES
7,33,23,EXTERNAL_MEMORY
1,5,2,CAMERA_FRONT
1,6,2,CAMERA_BACK
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
2,8,4,SCREEN_SIZE
3,25,22,SCREEN_TYPE
5,28,22,TITLE
2,11,7,OS
4,19,16,SIM_CARD_TYPE
1,7,7,BRAND
1,6,0,PRICE
1,28,21,WIRELESS_CONNECTIVITY
2,29,9,NETWORK_4G
2,17,8,NETWORK_3G
3,29,19,WIFI
3,11,4,BATTERY_CAPACITY
2,7,5,RAM_CAPACITY
1,7,3,CPU
2,16,11,CPU_CORES
1,4,2,STORAGE_SSD
3,18,6,CAMERA_FRONT
3,18,6,CAMERA_BACK
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
3,15,10,SCREEN_TYPE
5,19,3,SCREEN_RESOLUTION
4,23,18,TITLE
2,13,11,DEVICE_TYPE
1,6,6,BRAND
1,6,0,PRICE
2,35,24,WIRELESS_CONNECTIVITY
1,9,8,NETWORK_TYPE
1,7,3,BATTERY_CAPACITY
2,11,6,GPU
1,8,4,CPU
5,19,12,EXTERNAL_MEMORY
1,5,2,CAMERA_FRONT
2,13,4,CAMERA_BACK
2,9,2,WEIGHT
12,50,12,PRODUCT_SIZE
5,25,19,TITLE
3,13,11,SIM_CARD_TYPE
1,7,0,PRICE
1,38,28,WIRELESS_CONNECTIVITY
2,22,11,NETWORK_4G
