{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	33.98%	24.96%	25.97%	70.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	34.48%	27.67%	28.02%	35.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	34.48%	27.67%	28.02%	278.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	31.65%	24.71%	25.70%	38.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	33.98%	24.96%	25.97%	35.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	34.48%	27.67%	28.02%	40.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	30.96%	25.86%	25.59%	72.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	31.64%	24.88%	25.69%	262.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	30.96%	25.86%	25.59%	268.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	33.98%	24.96%	25.97%	275.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	34.28%	27.34%	27.79%	51.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	33.98%	24.96%	25.97%	37.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	34.02%	24.79%	26.01%	54.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	30.96%	25.86%	25.59%	41.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	31.64%	24.88%	25.69%	50.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	30.96%	25.86%	25.59%	69.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	31.65%	24.71%	25.70%	90.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	34.02%	24.79%	26.01%	53.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	34.48%	27.67%	28.02%	71.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	31.64%	24.88%	25.69%	34.00ms
{ConfidenceFactor=0.1, MinNumObj=3, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	30.90%	25.12%	24.63%	23.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	30.96%	25.86%	25.59%	25.00ms
{ConfidenceFactor=0.1, MinNumObj=4, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	48.09%	36.78%	39.63%	21.00ms
{ConfidenceFactor=0.1, MinNumObj=3, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	30.45%	23.97%	22.96%	37.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	34.64%	24.55%	24.86%	50.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	32.85%	22.82%	23.64%	22.00ms
{ConfidenceFactor=0.1, MinNumObj=3, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	30.90%	25.12%	24.63%	34.00ms
{ConfidenceFactor=0.1, MinNumObj=4, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	37.94%	25.70%	28.68%	20.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	30.96%	25.86%	25.59%	25.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	30.96%	25.86%	25.59%	82.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	35.78%	22.91%	23.73%	39.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	47.00ms
{ConfidenceFactor=0.1, MinNumObj=4, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	36.58%	24.88%	28.39%	21.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	31.65%	24.71%	25.70%	81.00ms
{ConfidenceFactor=0.1, MinNumObj=4, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	47.99%	35.96%	39.44%	19.00ms
{ConfidenceFactor=0.1, MinNumObj=4, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	37.94%	25.70%	28.68%	20.00ms
{ConfidenceFactor=0.1, MinNumObj=3, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	39.03%	26.93%	26.95%	26.00ms
{ConfidenceFactor=0.1, MinNumObj=3, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	39.94%	28.16%	28.96%	20.00ms
{ConfidenceFactor=0.1, MinNumObj=4, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	47.99%	35.96%	39.44%	10.00ms
{ConfidenceFactor=0.1, MinNumObj=3, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	39.94%	28.16%	28.96%	22.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	32.85%	22.82%	23.64%	54.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	34.02%	24.79%	26.00%	69.00ms
{ConfidenceFactor=0.1, MinNumObj=3, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	39.94%	28.16%	28.96%	20.00ms
{ConfidenceFactor=0.1, MinNumObj=4, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	48.09%	36.78%	39.63%	20.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	32.69%	25.12%	25.59%	25.00ms
{ConfidenceFactor=0.1, MinNumObj=5, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	48.87%	38.75%	40.95%	22.00ms
{ConfidenceFactor=0.1, MinNumObj=4, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	37.94%	25.70%	28.68%	20.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	32.69%	25.12%	25.59%	37.00ms
{ConfidenceFactor=0.1, MinNumObj=3, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	30.45%	23.97%	22.96%	24.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	34.28%	27.34%	27.79%	32.00ms
{ConfidenceFactor=0.1, MinNumObj=4, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	36.58%	24.88%	28.39%	22.00ms
{ConfidenceFactor=0.1, MinNumObj=3, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	30.45%	23.97%	22.96%	19.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	32.69%	25.12%	25.59%	56.00ms
{ConfidenceFactor=0.1, MinNumObj=4, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	47.99%	35.96%	39.44%	16.00ms
{ConfidenceFactor=0.1, MinNumObj=4, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	48.09%	36.78%	39.63%	14.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	32.85%	22.82%	23.64%	71.00ms
{ConfidenceFactor=0.1, MinNumObj=4, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	48.09%	36.78%	39.63%	16.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	32.85%	22.82%	23.64%	23.00ms
{ConfidenceFactor=0.1, MinNumObj=3, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	39.03%	26.93%	26.95%	23.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	30.96%	25.86%	25.59%	71.00ms
{ConfidenceFactor=0.1, MinNumObj=3, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	39.03%	26.93%	26.95%	20.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	35.78%	22.91%	23.73%	49.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	35.78%	22.91%	23.73%	44.00ms
{ConfidenceFactor=0.1, MinNumObj=4, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	36.58%	24.88%	28.39%	31.00ms
{ConfidenceFactor=0.1, MinNumObj=3, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	39.94%	28.16%	28.96%	25.00ms
{ConfidenceFactor=0.1, MinNumObj=3, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	30.90%	25.12%	24.63%	19.00ms
{ConfidenceFactor=0.1, MinNumObj=2, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	42.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	31.65%	24.71%	25.70%	63.00ms
