{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	32.85%	22.82%	23.64%	116.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	32.85%	22.82%	23.64%	285.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	35.78%	22.91%	23.73%	308.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	32.85%	22.82%	23.64%	62.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	32.85%	22.82%	23.64%	74.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	86.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	32.69%	25.12%	25.59%	78.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	35.78%	22.91%	23.73%	101.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	232.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	32.69%	25.12%	25.59%	304.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	35.78%	22.91%	23.73%	105.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	32.69%	25.12%	25.59%	111.00ms
{ConfidenceFactor=0.1, NumFolds=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	34.64%	24.55%	24.86%	98.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	42.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	34.64%	24.55%	24.86%	23.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	32.85%	22.82%	23.64%	19.00ms
{ConfidenceFactor=0.2, NumFolds=1, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	32.69%	25.12%	25.59%	24.00ms
{ConfidenceFactor=0.1, NumFolds=3, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	34.64%	24.55%	24.86%	15.00ms
