CONF	PREC	REC	FM	TIME
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	35.91%	25.70%	25.79%	387.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	38.14%	29.39%	29.13%	419.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	34.86%	23.48%	22.40%	431.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	37.62%	28.82%	28.27%	237.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	38.27%	30.05%	29.48%	102.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	36.65%	26.93%	27.88%	123.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	34.86%	23.48%	22.40%	201.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	32.78%	23.89%	27.02%	107.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	37.62%	28.82%	28.27%	556.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	37.62%	28.82%	28.27%	101.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	33.12%	23.97%	27.27%	174.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	35.06%	23.48%	22.47%	90.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	35.06%	23.48%	22.47%	102.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	35.91%	25.70%	25.79%	87.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	38.14%	29.39%	29.13%	176.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	37.62%	28.82%	28.27%	171.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	37.62%	28.82%	28.27%	97.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	36.28%	26.85%	27.67%	114.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	34.86%	23.48%	22.40%	298.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	35.91%	25.70%	25.79%	345.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	32.78%	23.89%	27.02%	109.00ms
