@RELATION phones

@ATTRIBUTE value STRING
@ATTRIBUTE class {BLUETOOTH_VERSION,CPU,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,EXTERNAL_MEMORY,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,SIM_CARD_TYPE,BRAND,SCREEN_SIZE,ROM,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,TITLE,WIFI,RAM}

@data
"xiaomi mi5 64gb 4g smartphone",TITLE
"bluetooth v4.2",BLUETOOTH_VERSION
"4g smartphone",DEVICE_TYPE
"dual sim,dual standby",SIM_CARD_SLOT
"miui 8",OS
"dual nano sim",SIM_CARD_TYPE
"xiaomi",BRAND
"$228.99",PRICE
"3g,4g,a-gps,gps,gsm,wifi",WIRELESS_CONNECTIVITY
"fdd-lte 1800/2100/2600mhz",NETWORK_4G
"wcdma 850/900/1900/2100mhz",NETWORK_3G
"gsm 850/900/1800/1900mhz",NETWORK_2G
"fdd-lte+wcdma+gsm",NETWORK_TYPE
"802.11a/b/g/n wireless internet",WIFI
"3000mah",BATTERY_CAPACITY
"lithium-ion polymer battery,non-removable",BATTERY_TYPE
"3gb ram",RAM
"adreno 530",GPU
"qualcomm snapdragon 820",CPU
"2.15ghz,quad core",CPU_CORES
"not supported",EXTERNAL_MEMORY
"64gb",ROM
"4.0mp",CAMERA_FRONT
"16.0mp 4-axis ois",CAMERA_BACK
"0.1290 kg",WEIGHT
"14.46 x 6.92 x 0.73 cm / 5.69 x 2.72 x 0.29 inches",PRODUCT_SIZE
"5.15 inch",SCREEN_SIZE
"428",SCREEN_PPI
"capacitive",SCREEN_TYPE
"1920 x 1080 (fhd)",SCREEN_RESOLUTION
"blackview bv8000 pro 4g smartphone",TITLE
"v4.0",BLUETOOTH_VERSION
"android 7.0",OS
"micro sim card",SIM_CARD_TYPE
"blackview",BRAND
"$297.38",PRICE
"3g,4g,bluetooth,gps,gsm,nfc,wifi",WIRELESS_CONNECTIVITY
"fdd b1 2100mhz,fdd b17 700mhz,fdd b2 1900mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b4 1700mhz,fdd b5 850mhz,fdd b7 2600mhz,tdd b19 800mhz,tdd b38 2600mhz,tdd b39 1900mhz,tdd b40 2300mhz,tdd b41 2500mhz",NETWORK_4G
"wcdma b1 2100mhz,wcdma b2 1900mhz,wcdma b4 1700mhz,wcdma b5 850mhz,wcdma b8 900mhz",NETWORK_3G
"gsm 1800mhz,gsm 1900mhz,gsm 850mhz,gsm 900mhz",NETWORK_2G
"fdd-lte,gsm,td-scdma,tdd-lte,wcdma",NETWORK_TYPE
"4180mah built-in",BATTERY_CAPACITY
"6gb ram",RAM
"mtk6757",CPU
"2.3ghz,octa core",CPU_CORES
"tf card up to 32gb (not included)",EXTERNAL_MEMORY
"8.0mp",CAMERA_FRONT
"16.0mp",CAMERA_BACK
"0.2330 kg",WEIGHT
"15.62 x 7.92 x 1.32 cm / 6.15 x 3.12 x 0.52 inches",PRODUCT_SIZE
"5.0 inch",SCREEN_SIZE
"corning gorilla glass,ips",SCREEN_TYPE
"oukitel c5 pro 4g smartphone",TITLE
"android 6.0",OS
"dual micro sim card",SIM_CARD_TYPE
"oukitel",BRAND
"$69.99",PRICE
"3g,4g,bluetooth,gps,gsm,wifi",WIRELESS_CONNECTIVITY
"fdd-lte 800/1800/2100/2600mhz",NETWORK_4G
"wcdma 900/2100mhz",NETWORK_3G
"802.11b/g/n wireless internet",WIFI
"1 x 2000mah",BATTERY_CAPACITY
"2gb ram",RAM
"mtk6737",CPU
"1.3ghz,quad core",CPU_CORES
"16gb",ROM
"2.0mp ( sw 5.0mp )",CAMERA_FRONT
"5.0mp ( sw 8.0mp )",CAMERA_BACK
"0.1380 kg",WEIGHT
"14.40 x 7.20 x 0.93 cm / 5.67 x 2.83 x 0.37 inches",PRODUCT_SIZE
"2.5d arc screen",SCREEN_TYPE
"1280 x 720 (hd 720)",SCREEN_RESOLUTION
"bluboo d1 3g smartphone",TITLE
"3g smartphone",DEVICE_TYPE
"bluboo",BRAND
"$79.99",PRICE
"3g,a-gps,bluetooth 4.0,gps,gsm,wifi",WIRELESS_CONNECTIVITY
"gsm+wcdma",NETWORK_TYPE
"2600mah",BATTERY_CAPACITY
"mali-400 mp",GPU
"mtk6580a",CPU
"tf card up to 256gb",EXTERNAL_MEMORY
"5.0mp",CAMERA_FRONT
"8.0mp + 2.0mp",CAMERA_BACK
"0.1260 kg",WEIGHT
"13.90 x 7.00 x 0.80 cm / 5.47 x 2.76 x 0.31 inches",PRODUCT_SIZE
"xiaomi mi 6 4g smartphone",TITLE
"nano sim card",SIM_CARD_TYPE
"$507.99",PRICE
"3g,4g,a-gps,bluetooth,gps,gsm,lte,wifi",WIRELESS_CONNECTIVITY
"fdd-lte b1/b3/b5/b7/b8",NETWORK_4G
"wcdma b1/b2/b5/b8",NETWORK_3G
"gsm b2/b3/b5/b8",NETWORK_2G
"gsm+cdma+wcdma+td-scdma+fdd-lte+td-lte",NETWORK_TYPE
"802.11a/b/g/n/ac wireless internet",WIFI
"3350mah(typ) / 3250mah(min) quick charge 3.0",BATTERY_CAPACITY
"non-removable",BATTERY_TYPE
"qualcomm snapdragon 835",CPU
"2.45ghz,octa core",CPU_CORES
"12.0mp + 12.0mp with pdaf, f/1.8 and f/2.6 aperture",CAMERA_BACK
"0.1710 kg",WEIGHT
"14.51 x 7.04 x 0.75 cm / 5.71 x 2.77 x 0.3 inches",PRODUCT_SIZE
"428ppi",SCREEN_PPI
"bluboo s1 4g phablet",TITLE
"4g phablet",DEVICE_TYPE
"$209.99",PRICE
"3g,4g,a-gps,bluetooth,gps,wifi",WIRELESS_CONNECTIVITY
"fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b8 900mhz,tdd b38 2600mhz",NETWORK_4G
"wcdma b1 2100mhz,wcdma b8 900mhz",NETWORK_3G
"fdd-lte,gsm,wcdma",NETWORK_TYPE
"3500mah",BATTERY_CAPACITY
"4gb ram",RAM
"mali t880",GPU
"mtk6575",CPU
"2.5ghz,octa core",CPU_CORES
"5.0mp ff ( sw 8.0mp )",CAMERA_FRONT
"13.0mp af ( sw 16.0mp ) + 3.0mp ff",CAMERA_BACK
"0.4000 kg",WEIGHT
"14.80 x 7.40 x 0.80 cm / 5.83 x 2.91 x 0.31 inches",PRODUCT_SIZE
"5.5 inch",SCREEN_SIZE
"2.5d arc screen,corning gorilla glass",SCREEN_TYPE
"elephone m2 4g phablet",TITLE
"android 5.1",OS
"elephone",BRAND
"$109.99",PRICE
"gsm,3g,gps,bluetooth 4.0,wifi,4g",WIRELESS_CONNECTIVITY
"fdd-lte 800/900/1800/2100/2600mhz",NETWORK_4G
"wcdma 850/900/2100mhz",NETWORK_3G
"1 x 2600mah battery",BATTERY_CAPACITY
"lithium-ion polymer battery",BATTERY_TYPE
"mali-t720",GPU
"mtk6753 64bit",CPU
"octa core,1.3ghz",CPU_CORES
"tf card up to 128gb (not included)",EXTERNAL_MEMORY
"32gb",ROM
"13.0mp",CAMERA_BACK
"0.161 kg",WEIGHT
"15.50 x 7.70 x 0.74 cm / 6.1 x 3.03 x 0.29 inches",PRODUCT_SIZE
"capacitive (5-points)",SCREEN_TYPE
"nomu s20 4g smartphone",TITLE
"nomu",BRAND
"$151.8",PRICE
"3g,4g,a-gps,bluetooth 4.0,gps,gsm,wifi",WIRELESS_CONNECTIVITY
"3000mah built-in",BATTERY_CAPACITY
"1.5ghz,quad core",CPU_CORES
"8.0mp ( sw 13.0mp ) with af and flash light",CAMERA_BACK
"0.1810 kg",WEIGHT
"14.54 x 7.50 x 1.03 cm / 5.72 x 2.95 x 0.41 inches",PRODUCT_SIZE
"capacitive,corning gorilla glass 3,ips",SCREEN_TYPE
"vernee mars pro 4g phablet",TITLE
"phablet",DEVICE_TYPE
"micro sim card,nano sim card",SIM_CARD_TYPE
"vernee",BRAND
"$179.99",PRICE
"3g,4g,a-gps,bluetooth,gps,gsm,wifi",WIRELESS_CONNECTIVITY
