GB	root.title	root.price	General.Type	General.RAM	General.GPU	General.Brand	General.Model	General.Processor	General.CPU	General.Core	General.Color	General.RAMType	General.ROM	DimensionandWeight.Productweight	DimensionandWeight.Productsize(LxWxH)	ProductDetails.Interface	ProductDetails.HDMIVersion	ProductDetails.Bluetooth	ProductDetails.RJ45PortSpeed	FirmwareInformation.WiFiChip	FirmwareInformation.SystemBit	General.MaximumExternalHardDrivesCapacity	General.System	ProductDetails.WIFI
http://www.gearbest.com/tv-box-mini-pc/pp_343433.html	hystou fmp03 fanless mini pc	$263.73	mini pc 	16gb 	intel hd graphics 4400 	hystou 	fmp03 		core-i5-4250u 	2.6ghz 	silver 	ddr3 	4g emmc + 64g ssd 	1.2500 kg 	19.80 x 19.80 x 3.70 cm / 7.8 x 7.8 x 1.46 inches 	dc power port,hdmi,lan,usb3.0,vga 	2	unsupport 	0	no 	32bit 			
http://www.gearbest.com/tv-box-mini-pc/pp_503488.html	alfawise h96 pro+ tv box	$67.99	tv box 	3gb 	arm mali-t820mp3 		h96 pro+ 		amlogic s912 	2.0ghz,octa core 	black 	ddr3 	32g 	0.2500 kg 	10.70 x 10.70 x 2.00 cm / 4.21 x 4.21 x 0.79 inches 	av,dc power port,ethernet,hdmi,spdif,tf card,usb2.0 	2	support 			64bit 	2tb 	android 7.1 	802.11 a/b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_632308.html	magicsee iron+ tv box	$78.99	tv box 	3g ram 	mali-820mp3 	magicsee 	iron+ 	amlogic s912 	cortex a53 	2.0ghz 		ddr4 	16g rom,32g rom 	0.2000 kg 	16.00 x 14.00 x 3.50 cm / 6.3 x 5.51 x 1.38 inches 	av,dc power port,hdmi,lan,optical,usb2.0 	2	bluetooth 4.1 	1000m 		64bit 	128gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_449230.html	ix95 android smart box with 2.0ghz a53 quad core	$29.1	tv box 	1g ram 	mali-450 		ix95 	amlogic s905 	arm cortex-a53 	2.0ghz 	black 	ddr3 	8g rom 	0.1550 kg 	11.50 x 11.50 x 2.00 cm / 4.53 x 4.53 x 0.79 inches 	av,dc 5v,hdmi,optical,rj45,spdif,tf card,usb2.0 	1				64bit 	2tb 	android 5.1.1 	802.11b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_614501.html	minix z83 - 4 tv box + minix k2 mini keyboard	$220.45	tv box 	4g 	intel hd graphic 	minix 	z83 - 4 		intel atom x5-z8350 	quad core 		ddr3l 	32g 	0.9840 kg 	12.70 x 12.70 x 2.40 cm / 5 x 5 x 0.94 inches 	3.5mm audio,dc power port,ethernet,hdmi,mini dp 		support 		ap6255 	64bit 		windows 10 	
http://www.gearbest.com/tv-box-mini-pc/pp_446519.html	bm8 set top box android amlogic s905x quad core	$57.47	tv box 	2g 	mali-450 		bm8 		amlogic s905x 	2.0ghz,quad core 	black 	ddr3 	32g 	0.2000 kg 	9.80 x 9.80 x 2.60 cm / 3.86 x 3.86 x 1.02 inches 	av,dc power port,hdmi,rj45,tf card,usb2.0 		bluetooth4.0 			64bit 		android 6.0 	802.11 b/g/n/ac 
http://www.gearbest.com/tv-box-mini-pc/pp_649610.html	m96x max smart tv box	$52.98	tv box 	2g ram 	mali-450 		m96x max 	s905x 	arm cortex-a53 	2.0ghz,quad core 		ddr3 	16g rom 	0.3000 kg 	11.80 x 11.80 x 2.30 cm / 4.65 x 4.65 x 0.91 inches 		2	bluetooth4.0 	10 / 100m 	ap6335 	64bit 	32gb 	android 7.1 	
http://www.gearbest.com/tv-box-mini-pc/pp_627267.html	thl box 1 pro tv box	$67.52	tv box 	1g,2g 	mali-450 	thl 		s905x 	cortex a53 	quad core 		ddr3 	16g,8g 	0.1980 kg 	10.50 x 10.50 x 2.00 cm / 4.13 x 4.13 x 0.79 inches 	av,dc power port,hdmi,rj45,tf card,usb2.0 	1.4	unsupport 	100m 	rtl8189 	32bit 	128gb 	android 6.0 	
http://www.gearbest.com/tv-box-mini-pc/pp_463452.html	km5 android tv pc box quad core amlogic s905x	$37.14	tv box 	1g 	mali-450 		km5 		amlogic s905x 	2.0ghz,quad core 	black 	ddr3 	8g 	0.1040 kg 	9.80 x 9.80 x 2.60 cm / 3.86 x 3.86 x 1.02 inches 	3.5mm audio,dc power port,hdmi,micro sd card slot,rj45,usb2.0 	2				64bit 		android 6.0 	802.11b/g/n 
http://www.gearbest.com/tv-box-mini-pc/pp_372952.html	gole gole1 5 inch 720 x 1280 mini pc windows 10 / android 5.1	$149.39	mini pc 	4g 	gen 8 graphics 		gole1 		intel cherry trail z8300 	1.84ghz,quad core 	golden 	lpddr3 	32g 	0.200 kg 	13.50 x 9.00 x 2.00 cm / 5.31 x 3.54 x 0.79 inches 	3.5mm audio,dc power port,ethernet,hdmi,micro usb,tf card,usb2.0,usb3.0 	2	bluetooth4.0 			64bit 		android 5.1,windows 10 	802.11 b/g/n/ac 
