{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	16.91%	87.33%	83.09%	84.02%	475.90ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	17.04%	87.05%	82.96%	83.71%	384.40ms
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	17.17%	87.39%	82.83%	83.83%	435.10ms
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	17.17%	87.39%	82.83%	83.83%	444.90ms
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	17.17%	87.39%	82.83%	83.83%	455.20ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	17.17%	87.39%	82.83%	83.83%	457.80ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	17.17%	87.39%	82.83%	83.83%	459.60ms
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	17.17%	87.39%	82.83%	83.83%	470.40ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	17.17%	87.39%	82.83%	83.83%	516.10ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	17.17%	87.39%	82.83%	83.83%	666.80ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	17.19%	87.30%	82.81%	83.73%	415.30ms
{ConfidenceFactor=0.4, MinNumObjPerLeaf=1, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	17.21%	87.02%	82.79%	83.56%	410.70ms
{ConfidenceFactor=0.4, MinNumObjPerLeaf=1, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	17.21%	87.02%	82.79%	83.56%	412.30ms
{ConfidenceFactor=0.3, MinNumObjPerLeaf=1, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	17.21%	87.02%	82.79%	83.56%	421.70ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	17.21%	87.02%	82.79%	83.56%	427.40ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	17.21%	87.02%	82.79%	83.56%	453.10ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	17.21%	87.02%	82.79%	83.56%	459.00ms
{ConfidenceFactor=0.3, MinNumObjPerLeaf=1, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	17.21%	87.02%	82.79%	83.56%	459.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	17.21%	87.02%	82.79%	83.56%	471.50ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	17.30%	87.32%	82.70%	83.69%	411.70ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	17.38%	87.06%	82.62%	83.50%	492.00ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	17.43%	87.10%	82.57%	83.56%	429.70ms
{ConfidenceFactor=0.4, MinNumObjPerLeaf=2, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	17.60%	86.69%	82.40%	83.30%	407.60ms
{ConfidenceFactor=0.3, MinNumObjPerLeaf=2, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	17.60%	86.69%	82.40%	83.30%	410.10ms
{ConfidenceFactor=0.3, MinNumObjPerLeaf=2, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	17.60%	86.69%	82.40%	83.30%	410.60ms
{ConfidenceFactor=0.4, MinNumObjPerLeaf=2, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	17.60%	86.69%	82.40%	83.30%	412.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	17.60%	86.69%	82.40%	83.30%	415.40ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	17.60%	86.69%	82.40%	83.30%	424.70ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	17.60%	86.69%	82.40%	83.30%	445.60ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=2, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	17.60%	86.69%	82.40%	83.30%	460.80ms
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	17.62%	87.23%	82.38%	83.53%	446.00ms
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	17.62%	87.23%	82.38%	83.53%	449.90ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	17.62%	87.23%	82.38%	83.53%	466.50ms
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	17.62%	87.23%	82.38%	83.53%	475.40ms
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	17.62%	87.23%	82.38%	83.53%	475.50ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	17.62%	87.23%	82.38%	83.53%	480.20ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	17.62%	87.23%	82.38%	83.53%	526.90ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	17.62%	87.23%	82.38%	83.53%	641.60ms
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	17.64%	87.09%	82.36%	83.35%	391.50ms
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	17.71%	87.09%	82.29%	83.30%	407.10ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	17.71%	87.01%	82.29%	83.18%	400.00ms
{ConfidenceFactor=0.4, MinNumObjPerLeaf=1, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	17.81%	86.94%	82.19%	83.07%	430.60ms
{ConfidenceFactor=0.4, MinNumObjPerLeaf=1, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	17.81%	86.94%	82.19%	83.07%	440.90ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	17.81%	86.94%	82.19%	83.07%	441.30ms
{ConfidenceFactor=0.3, MinNumObjPerLeaf=1, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	17.81%	86.94%	82.19%	83.07%	452.40ms
{ConfidenceFactor=0.3, MinNumObjPerLeaf=1, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	17.81%	86.94%	82.19%	83.07%	462.10ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	17.81%	86.94%	82.19%	83.07%	466.80ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	17.81%	86.94%	82.19%	83.07%	471.90ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	17.81%	86.94%	82.19%	83.07%	479.40ms
{ConfidenceFactor=0.4, MinNumObjPerLeaf=1, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	17.84%	87.08%	82.16%	83.19%	364.60ms
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	17.84%	86.72%	82.16%	83.02%	410.90ms
{ConfidenceFactor=0.3, MinNumObjPerLeaf=1, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	17.92%	87.11%	82.08%	83.16%	380.30ms
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	17.94%	86.60%	82.06%	82.94%	400.80ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	18.05%	86.70%	81.95%	82.97%	366.40ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=2, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	18.07%	86.72%	81.93%	83.06%	254.60ms
