{MaxDepth=14, NumFeatures=1, NumBaggingIterations=90, BreakTiesRandomly=true}	14.67%	88.03%	85.33%	85.52%	499.70ms
{MaxDepth=14, NumFeatures=1, NumBaggingIterations=90, BreakTiesRandomly=false}	14.67%	88.03%	85.33%	85.52%	550.80ms
{MaxDepth=14, NumFeatures=1, NumBaggingIterations=100, BreakTiesRandomly=false}	14.72%	88.06%	85.28%	85.50%	571.50ms
{MaxDepth=14, NumFeatures=1, NumBaggingIterations=100, BreakTiesRandomly=true}	14.72%	88.06%	85.28%	85.50%	584.50ms
{MaxDepth=14, NumFeatures=1, NumBaggingIterations=110, BreakTiesRandomly=false}	14.74%	88.04%	85.26%	85.52%	671.40ms
{MaxDepth=14, NumFeatures=1, NumBaggingIterations=110, BreakTiesRandomly=true}	14.74%	88.04%	85.26%	85.52%	708.10ms
{MaxDepth=11, NumFeatures=2, NumBaggingIterations=120, BreakTiesRandomly=false}	14.76%	88.10%	85.24%	85.47%	681.90ms
{MaxDepth=11, NumFeatures=1, NumBaggingIterations=100, BreakTiesRandomly=true}	14.80%	88.05%	85.20%	85.32%	436.50ms
{MaxDepth=11, NumFeatures=1, NumBaggingIterations=100, BreakTiesRandomly=false}	14.80%	88.05%	85.20%	85.32%	437.80ms
{MaxDepth=11, NumFeatures=2, NumBaggingIterations=110, BreakTiesRandomly=false}	14.80%	87.91%	85.20%	85.38%	600.90ms
{MaxDepth=14, NumFeatures=1, NumBaggingIterations=80, BreakTiesRandomly=false}	14.83%	88.09%	85.17%	85.46%	445.30ms
{MaxDepth=14, NumFeatures=1, NumBaggingIterations=80, BreakTiesRandomly=true}	14.83%	88.09%	85.17%	85.46%	458.20ms
{MaxDepth=14, NumFeatures=1, NumBaggingIterations=120, BreakTiesRandomly=true}	14.89%	88.03%	85.11%	85.43%	727.00ms
{MaxDepth=14, NumFeatures=1, NumBaggingIterations=120, BreakTiesRandomly=false}	14.89%	88.03%	85.11%	85.43%	736.60ms
{MaxDepth=11, NumFeatures=1, NumBaggingIterations=120, BreakTiesRandomly=false}	14.91%	87.77%	85.09%	85.10%	507.90ms
{MaxDepth=11, NumFeatures=1, NumBaggingIterations=120, BreakTiesRandomly=true}	14.91%	87.77%	85.09%	85.10%	520.60ms
{MaxDepth=11, NumFeatures=1, NumBaggingIterations=110, BreakTiesRandomly=true}	14.91%	87.73%	85.09%	85.13%	473.40ms
{MaxDepth=11, NumFeatures=1, NumBaggingIterations=110, BreakTiesRandomly=false}	14.91%	87.73%	85.09%	85.13%	473.50ms
{MaxDepth=12, NumFeatures=1, NumBaggingIterations=100, BreakTiesRandomly=false}	14.94%	88.13%	85.06%	85.34%	570.50ms
{MaxDepth=12, NumFeatures=1, NumBaggingIterations=100, BreakTiesRandomly=true}	14.94%	88.13%	85.06%	85.34%	577.60ms
