CONF	PREC	REC	FM	TIME
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	20.60%	13.48%	16.29%	2050.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	20.60%	13.48%	16.29%	2082.00ms
{ConfidenceFactor=0.4, MinNumObj=1, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	20.60%	13.48%	16.29%	2148.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	20.60%	13.48%	16.29%	2164.00ms
{ConfidenceFactor=0.4, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	20.60%	13.48%	16.29%	2172.00ms
{ConfidenceFactor=0.4, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	20.60%	13.48%	16.29%	2179.00ms
{ConfidenceFactor=0.4, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	20.60%	13.48%	16.29%	2184.00ms
{ConfidenceFactor=0.3, MinNumObj=1, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	20.60%	13.48%	16.29%	2202.00ms
{ConfidenceFactor=0.4, MinNumObj=1, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	20.60%	13.48%	16.29%	2205.00ms
{ConfidenceFactor=0.4, MinNumObj=1, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	20.60%	13.48%	16.29%	2223.00ms
{ConfidenceFactor=0.2, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	20.60%	13.48%	16.29%	2224.00ms
{ConfidenceFactor=0.2, MinNumObj=1, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	20.60%	13.48%	16.29%	2227.00ms
{ConfidenceFactor=0.3, MinNumObj=1, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	20.60%	13.48%	16.29%	2227.00ms
{ConfidenceFactor=0.4, MinNumObj=1, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	20.60%	13.48%	16.29%	2229.00ms
{ConfidenceFactor=0.3, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	20.60%	13.48%	16.29%	2230.00ms
{ConfidenceFactor=0.4, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	20.60%	13.48%	16.29%	2232.00ms
{ConfidenceFactor=0.1, MinNumObj=1, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	20.60%	13.48%	16.29%	2241.00ms
{ConfidenceFactor=0.2, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	20.60%	13.48%	16.29%	2242.00ms
{ConfidenceFactor=0.3, MinNumObj=1, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	20.60%	13.48%	16.29%	2242.00ms
{ConfidenceFactor=0.3, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	20.60%	13.48%	16.29%	2244.00ms
{ConfidenceFactor=0.3, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	20.60%	13.48%	16.29%	2246.00ms
{ConfidenceFactor=0.2, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	20.60%	13.48%	16.29%	2263.00ms
{ConfidenceFactor=0.3, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	20.60%	13.48%	16.29%	2273.00ms
{ConfidenceFactor=0.2, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	20.60%	13.48%	16.29%	2283.00ms
{ConfidenceFactor=0.2, MinNumObj=1, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	20.60%	13.48%	16.29%	2304.00ms
{ConfidenceFactor=0.2, MinNumObj=1, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	20.60%	13.48%	16.29%	2318.00ms
{ConfidenceFactor=0.3, MinNumObj=1, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	20.60%	13.48%	16.29%	2320.00ms
{ConfidenceFactor=0.4, MinNumObj=0, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	20.60%	13.48%	16.29%	2358.00ms
{ConfidenceFactor=0.4, MinNumObj=1, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	20.60%	13.48%	16.29%	2372.00ms
