{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	20.60%	13.48%	16.29%	8065.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	20.60%	13.48%	16.29%	8137.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	20.91%	14.46%	16.76%	7371.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	20.91%	14.46%	16.76%	7403.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	2.13%	1.48%	1.75%	18668.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	2.13%	1.48%	1.75%	18989.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	20.60%	13.48%	16.29%	6845.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	20.60%	13.48%	16.29%	6970.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	2.13%	1.48%	1.75%	17633.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	2.13%	1.48%	1.75%	17822.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	20.91%	14.46%	16.76%	7530.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	20.91%	14.46%	16.76%	7478.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	2.13%	1.48%	1.75%	17435.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	2.13%	1.48%	1.75%	17785.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	20.60%	13.48%	16.29%	8214.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	20.60%	13.48%	16.29%	7963.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	2.13%	1.48%	1.75%	17312.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	2.13%	1.48%	1.75%	17712.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	20.91%	14.46%	16.76%	7228.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	20.91%	14.46%	16.76%	7355.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	2.13%	1.48%	1.75%	17309.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	2.13%	1.48%	1.75%	17414.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	20.60%	13.48%	16.29%	6849.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	20.60%	13.48%	16.29%	6858.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	2.13%	1.48%	1.75%	17190.00ms
