{BatchSize=80, MaxDepth=0, NumFeatures=0, NumBaggingIterations=80, BreakTiesRandomly=true}	3.07%	3.70%	3.07%	4987.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=0, NumBaggingIterations=80, BreakTiesRandomly=false}	4.33%	3.45%	3.61%	4923.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=0, NumBaggingIterations=90, BreakTiesRandomly=false}	3.88%	2.96%	3.14%	5483.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=0, NumBaggingIterations=90, BreakTiesRandomly=true}	2.94%	2.55%	2.56%	5376.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=0, NumBaggingIterations=100, BreakTiesRandomly=false}	4.23%	3.45%	3.56%	4487.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=0, NumBaggingIterations=100, BreakTiesRandomly=true}	3.20%	2.63%	2.70%	4729.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=0, NumBaggingIterations=110, BreakTiesRandomly=true}	3.05%	2.38%	2.47%	4839.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=0, NumBaggingIterations=110, BreakTiesRandomly=false}	4.28%	3.53%	3.63%	5048.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=1, NumBaggingIterations=80, BreakTiesRandomly=false}	7.23%	2.55%	2.83%	2563.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=1, NumBaggingIterations=80, BreakTiesRandomly=true}	7.23%	2.55%	2.83%	2731.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=0, NumBaggingIterations=120, BreakTiesRandomly=true}	3.22%	2.30%	2.45%	5117.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=0, NumBaggingIterations=120, BreakTiesRandomly=false}	4.07%	3.20%	3.36%	5732.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=1, NumBaggingIterations=90, BreakTiesRandomly=false}	6.63%	3.20%	3.01%	2965.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=1, NumBaggingIterations=90, BreakTiesRandomly=true}	6.63%	3.20%	3.01%	3085.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=1, NumBaggingIterations=100, BreakTiesRandomly=false}	6.62%	3.12%	2.99%	3517.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=1, NumBaggingIterations=100, BreakTiesRandomly=true}	6.62%	3.12%	2.99%	3679.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=1, NumBaggingIterations=110, BreakTiesRandomly=false}	8.43%	2.47%	2.81%	4218.00ms
{BatchSize=80, MaxDepth=0, NumFeatures=1, NumBaggingIterations=110, BreakTiesRandomly=true}	8.43%	2.47%	2.81%	4144.00ms
