{ComplexityConstant=1.4000000000000001, Kernel=Puk kernel, BuildCalibrationModel=true}	19.31%	79.68%	80.69%	78.43%	153400.30ms
{ComplexityConstant=1.3, Kernel=Puk kernel, BuildCalibrationModel=true}	19.52%	79.19%	80.48%	78.16%	179866.10ms
{ComplexityConstant=1.2, Kernel=Puk kernel, BuildCalibrationModel=true}	19.63%	79.29%	80.37%	77.96%	161737.70ms
{ComplexityConstant=1.0999999999999999, Kernel=Puk kernel, BuildCalibrationModel=true}	19.67%	79.40%	80.33%	77.93%	162232.90ms
{ComplexityConstant=0.9999999999999999, Kernel=Puk kernel, BuildCalibrationModel=true}	19.87%	79.22%	80.13%	77.74%	177222.50ms
{ComplexityConstant=0.8999999999999999, Kernel=Puk kernel, BuildCalibrationModel=true}	20.28%	78.95%	79.72%	77.38%	167452.10ms
{ComplexityConstant=0.7999999999999999, Kernel=Puk kernel, BuildCalibrationModel=true}	20.35%	79.11%	79.65%	77.23%	177896.80ms
{ComplexityConstant=0.7, Kernel=Puk kernel, BuildCalibrationModel=true}	20.95%	78.36%	79.05%	76.57%	178113.10ms
{ComplexityConstant=1.4000000000000001, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	24.83%	72.80%	75.17%	71.70%	57103.40ms
{ComplexityConstant=1.3, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	24.94%	71.77%	75.06%	71.39%	59100.90ms
{ComplexityConstant=1.2, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	25.45%	71.27%	74.55%	70.90%	52707.80ms
{ComplexityConstant=1.0999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	25.59%	71.16%	74.41%	70.43%	56092.90ms
{ComplexityConstant=0.9999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	25.89%	71.72%	74.11%	70.23%	54450.50ms
{ComplexityConstant=0.8999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	25.97%	71.41%	74.03%	70.12%	55286.50ms
{ComplexityConstant=0.7999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	25.97%	71.35%	74.03%	70.03%	56759.80ms
{ComplexityConstant=0.7, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	26.17%	71.15%	73.83%	69.89%	55505.90ms
