@relation products

@attribute numberOfWords numeric
@attribute numberOfTotalCharacters numeric
@attribute numberOfAlphabetCharacters numeric
@attribute numberOfNumericCharacters numeric
@attribute numberOfWhiteSpaceCharacters numeric
@attribute numberOfSpecialCharacters numeric
@attribute isNumericValue {true,false}
@attribute isIntegralNumericValue {true,false}
@attribute isDecimalNumericValue {true,false}
@attribute isPrefixedNumber {true,false}
@attribute isPostfixedNumber {true,false}
@attribute class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI,USB_VERSION}

@data
7,36,20,8,6,2,false,false,false,false,false,TITLE
2,9,3,3,1,2,false,false,false,false,false,CPU_FREQ
5,34,25,0,4,5,false,false,false,false,false,SIM_CARD_SLOT
1,4,0,2,0,2,false,false,false,false,true,CAMERA_FRONT
7,28,9,9,8,2,false,false,false,false,false,PRODUCT_SIZE
1,2,2,0,0,0,false,false,false,false,false,CPU
5,33,24,4,4,1,false,false,false,false,false,TITLE
2,5,2,2,1,0,false,false,false,false,true,STORAGE_SSD
7,37,26,2,6,3,false,false,false,false,false,EXTERNAL_MEMORY
4,15,10,1,3,1,false,false,false,false,true,SCREEN_TYPE
2,5,1,3,1,0,false,false,false,false,true,STORAGE_SSD
12,44,8,18,11,7,false,false,false,false,false,PRODUCT_SIZE
5,40,23,5,4,8,false,false,false,false,false,EXTERNAL_MEMORY
1,3,3,0,0,0,false,false,false,false,false,BRAND
8,41,22,9,7,3,false,false,false,false,false,TITLE
5,22,18,0,4,0,false,false,false,false,false,TITLE
5,23,13,3,4,3,false,false,false,false,false,TITLE
5,31,19,3,4,5,false,false,false,false,false,TITLE
