TITLE|BLUETOOTH_VERSION|USB_VERSION|DEVICE_TYPE|SIM_CARD_SLOT|OS|OS_BITS|SIM_CARD_TYPE|BRAND|MODEL|PRICE|WIRELESS_CONNECTIVITY|NETWORK_4G|NETWORK_3G|NETWORK_2G|NETWORK_TYPE|WIFI|BATTERY_CAPACITY|BATTERY_TYPE|RAM_CAPACITY|RAM_TYPE|GPU|CPU|CPU_FREQ|CPU_CORES|EXTERNAL_MEMORY|STORAGE_SSD|STORAGE_HDD|CAMERA_FRONT|CAMERA_BACK|WEIGHT|PRODUCT_SIZE|SCREEN_SIZE|SCREEN_PPI|SCREEN_TYPE|SCREEN_RESOLUTION|COLOR|ETHERNET_SPEED
cube iwork 10 flagship ultrabook tablet pc|||ultrabook ||windows 10 + android 5.1 |||cube ||$159.99||||||802.11b/g/n wireless internet |7000mah ||4gb ||intel hd graphic |intel atom x5-z8350 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||0.3mp |2.0mp |0.5800 kg |26.20 x 16.80 x 0.80 cm / 10.31 x 6.61 x 0.31 inches |10.1 inch ||capacitive (10-point),ips |1920 x 1200 (wuxga) ||
chuwi hi13 2 in 1 tablet pc|||notebook ||windows 10 |||chuwi ||$299.99||||||802.11 a/b/g/n/ac wireless internet |3.7v / 10000mah ||4gb ||intel hd graphics 500 |intel apollo lake celeron n3450 ||1.1ghz,quad core ||64gb ||2.0mp |5.0mp |1.0990 kg |33.20 x 22.00 x 0.80 cm / 13.07 x 8.66 x 0.31 inches |"13.5"" "||ips |3000 x 2000 ||
chuwi hi10 pro 2 in 1 ultrabook tablet pc with keyboard|||ultrabook,with keyboard ||windows 10 + android 5.1 |||chuwi ||$199.99||||||802.11b/g/n wireless internet |3.7v/6500mah ||4gb ||intel hd graphic(gen8) |intel atom x5-z8350 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||2.0mp |5.0mp with af |1.1070 kg |26.70 x 17.40 x 2.70 cm / 10.51 x 6.85 x 1.06 inches |10.1 inch ||capacitive,ips |1920 x 1200 (wuxga) ||
teclast tbook 11 2 in 1 ultrabook tablet pc|||ultrabook,umpc ||windows 10 + android 5.1 |||teclast ||$172.16||||||802.11b/g/n wireless internet |3.8v/7500mah ||4gb ||intel hd graphic(gen8) |cherry trail z8300 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||||0.6250 kg |27.50 x 16.97 x 0.84 cm / 10.83 x 6.68 x 0.33 inches |10.6 inch ||capacitive,ips,retina |1920 x 1080 (fhd) ||
chuwi hi10 pro 2 in 1 ultrabook tablet pc|||ultrabook,drawing ||windows 10 + android 5.1 |||chuwi ||$192.28||||||802.11b/g/n wireless internet |3.7v/6500mah ||4gb ||intel hd graphic(gen8) |intel cherry trail x5-z8350 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||||0.562 kg |26.18 x 16.73 x 0.85 cm / 10.31 x 6.59 x 0.33 inches |10.1 inch ||capacitive,ips |1920 x 1200 (wuxga) ||
chuwi hi10 ultrabook tablet pc|||ultrabook ||windows 10 |||chuwi ||$201.14||||||802.11b/g/n wireless internet |8000mah(rated capacity 6500mah) ||4gb ||intel graphics |cherry trail z8300 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||2.0mp ||0.474 kg |25.75 x 17.10 x 0.89 cm / 10.14 x 6.73 x 0.35 inches |10.1 inch ||capacitive (10-point),ips,retina |1920 x 1200 (wuxga) ||
teclast x3 pro 2 in 1 ultrabook tablet pc|||ultrabook ||windows 10 |||teclast ||$463.14||||||802.11b/g/n wireless internet |7.4v/4500mah ||8gb ||gen9lp hd515 |intel core m3-6y30 ||900mhz,dual core |tf card up to 128gb (not included) |128gb ||||0.9090 kg |30.38 x 18.61 x 1.01 cm / 11.96 x 7.33 x 0.4 inches |11.6 inch ||capacitive,ips |1920 x 1080 (fhd) ||
chuwi hi10 pro 2 in 1 ultrabook tablet pc|||ultrabook ||android 5.1,windows 10 |||chuwi ||$210.89||||||802.11b/g/n wireless internet |3.7v/6500mah ||4gb ||intel hd graphic(gen8) |intel cherry trail x5-z8350 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||||0.562 kg |26.18 x 16.73 x 0.85 cm / 10.31 x 6.59 x 0.33 inches |10.1 inch ||capacitive,ips |1920 x 1200 (wuxga) ||
gpd pocket mini laptop|||mini laptop ||windows 10 |||gpd ||$495.99||||||802.11a/b/g/n/ac wireless internet |||8gb |||intel atom x7-z8750 ||1.6ghz,quad core ||||2.0mp |5.0mp |0.5030 kg |18.20 x 10.90 x 1.99 cm / 7.17 x 4.29 x 0.78 inches |7 inch |||1920 x 1080 (fhd) ||
chuwi hibook 2 in 1 ultrabook tablet pc|||ultrabook ||windows 10 + android 5.1 |||chuwi ||$195.9||||||802.11b/g/n wireless internet |3.7v/6600mah ||4gb ||intel hd graphic(gen8) |cherry trail z8300 ||1.44ghz,quad core |tf card up to 64gb (not included) |64gb ||0.3mp |2.0mp |0.5500 kg |26.20 x 16.75 x 0.85 cm / 10.31 x 6.59 x 0.33 inches |10.1 inch ||capacitive,ips |1920 x 1200 (wuxga) ||
