TITLE|BLUETOOTH_VERSION|USB_VERSION|DEVICE_TYPE|SIM_CARD_SLOT|OS|OS_BITS|SIM_CARD_TYPE|BRAND|MODEL|PRICE|WIRELESS_CONNECTIVITY|NETWORK_4G|NETWORK_3G|NETWORK_2G|NETWORK_TYPE|WIFI|BATTERY_CAPACITY|BATTERY_TYPE|RAM_CAPACITY|RAM_TYPE|GPU|CPU|CPU_FREQ|CPU_CORES|EXTERNAL_MEMORY|STORAGE_SSD|STORAGE_HDD|CAMERA_FRONT|CAMERA_BACK|WEIGHT|PRODUCT_SIZE|SCREEN_SIZE|SCREEN_PPI|SCREEN_TYPE|SCREEN_RESOLUTION|COLOR|ETHERNET_SPEED
cube mix plus 2 in 1 tablet pc|||tablet pc,umpc,drawing ||windows 10 |||cube ||$369.99||||||wifi 802.11a/b/g/n wireless internet |built-in 7.4v / 4300mah ( printing||4gb ||intel hd graphice 615 |intel kaby lake core m3-7y30 ||1.61ghz,dual core |tf card up to 128gb (not included) |128gb ||0.3mp |2.0mp |0.7000 kg |27.30 x 17.20 x 0.96 cm / 10.75 x 6.77 x 0.38 inches |10.6 inch ||capacitive (10-point),ips |1920 x 1080 (fhd) ||
onda v80 tablet pc|||tablet pc ||android 5.1 |||onda ||$91.31||||||802.11b/g/n wireless internet |3.7v / 4200mah lithium polymer battery ||1gb ||mali-400 mp |a64 ||1.3ghz,quad core |tf card up to 128gb (not included) |8gb ||2.0mp |5.0mp |0.3080 kg |21.40 x 12.53 x 0.95 cm / 8.43 x 4.93 x 0.37 inches |8 inch ||capacitive (5-point),ips |1920 x 1200 (wuxga) ||
lenovo tb3 - 850f tablet pc|||tablet pc ||android 6.0 |||lenovo ||$140.56||||||802.11b/g/n wireless internet |4290mah, li-ion battery ||1gb |||mtk8161 ||1ghz,quad core |tf card up to 64gb (not included) |16gb ||0.3mp |1.9mp |0.3480 kg |21.70 x 12.60 x 0.80 cm / 8.54 x 4.96 x 0.31 inches |8 inch ||capacitive |1280 x 800 ||
soulycin s79 7.85 inch android 4.2 tablet pc all winner a31s quad core 1.2ghz xga ips retina screen 16gb rom (silver)|||tablet pc |||||soulycin ||$104.48||||||802.11b/g/n wireless internet |3500mah ||1gb |||a31s ||1.2ghz, cortex-a7, quad core |tf card up to 32gb (not included) |16gb ||0.3mp |2.0mp |0.328 kg |19.8 x 13.2 x 0.8 cm |7.85 inch ||ips, capacitive |1024 x 768 (xga) ||
veidoo v88k - a4f kids tablet pc|||kids tablet ||android 4.4 |||veidoo ||$65.5||||||802.11b/g/n wireless internet |3.7v / 2500mah ||512mb ||mali-400 |a33 ||1.5ghz,quad core |tf card up to 32gb (not included) |8gb ||0.3mp |2.0mp (with flash light) |0.5200 kg |18.60 x 12.10 x 0.80 cm / 7.32 x 4.76 x 0.31 inches |7 inch ||capacitive,tn |1024 x 600 (wsvga) ||
huawei m3 ( btv-w09 ) tablet pc fingerprint sensor|||tablet pc ||android 6.0 |||huawei ||$399.99||||||802.11 a/b/g/n/ac wireless internet |5100mah, li-ion battery ||4gb |||hisilicon kirin 950 ||2.3ghz,octa core |tf card up to 128gb (not included) |128gb ||||0.3100 kg |21.50 x 12.40 x 0.73 cm / 8.46 x 4.88 x 0.29 inches |8.4 inch ||capacitive |2560 x 1600 (wqxga) ||
lenovo yoga a12 yb - q501f 2 in 1 tablet pc|||tablet pc ||android 6.0 |||lenovo ||$458.68||||||802.11b/g/n wireless internet |10500mah, li-ion polymer battery ||2gb ||gen8-lp10 |intel cherry trail z8550 ||2.4ghz,quad core |tf card up to 128gb (not included) |32gb ||2.0mp |5.0mp (with flash light and auto focus) |0.9900 kg |28.06 x 20.48 x 1.09 cm / 11.05 x 8.06 x 0.43 inches |12.2 inch ||capacitive |1280 x 800 (wxga) ||
teclast p80h tablet pc|||tablet pc ||android 5.1 |||teclast ||$56.99||||||802.11 a/b/g/n/ac wireless internet |3500mah ||1gb ||sapphire 650 |mtk8163 ||1.3ghz,quad core |tf card up to 32gb (not included) |8gb ||0.3mp |2.0mp |0.2900 kg |21.00 x 12.60 x 0.99 cm / 8.27 x 4.96 x 0.39 inches |8 inch ||capacitive (5-point),ips |1280 x 800 (wxga) ||
teclast p89h tablet pc|||tablet pc ||android 6.0 |||teclast ||$79.08||||||802.11b/g/n wireless internet |3.8v / 3800mah, li-ion polymer battery ||1gb ||mali-t720 mp2 |mtk8163 ||1.3ghz,quad core |tf card up to 128gb (not included) |16gb ||2.0mp ||0.3320 kg |19.57 x 13.72 x 0.91 cm / 7.7 x 5.4 x 0.36 inches |7.85 inch ||capacitive (5-point) |1024 x 768 (xga) ||
onda obook11 plus 2 in 1 tablet pc|||tablet pc ||windows 10 |||onda ||$187.63||||||802.11b/g/n wireless internet |||4gb ||intel hd graphic(gen8) |cherry trail z8300 ||1.44ghz,quad core |tf card up to 128gb (not included) |32gb ||0.3mp |5.0mp |0.7670 kg |28.80 x 19.50 x 0.90 cm / 11.34 x 7.68 x 0.35 inches |11.6 inch ||capacitive,ips |1920 x 1080 (fhd) ||
jxd s5800 game phablet|||game tablet |yes (2 x sim card slot) |android 4.2 |||jxd ||$79.99|||built in 3g (wcdma) |gsm 850/900/1800/1900mhz wcdma 850/2100mhz |gsm+wcdma |802.11b/g/n wireless internet |3000mah ||1gb ||mali-400 |mtk6582 ||1.3ghz, quad core|tf card up to 32gb (not included) |8gb ||0.3mp |5.0mp (with flash light and auto focus) |0.260 kg |19.8 x 8.8 x 1.56 cm / 7.78 x 3.46 x 0.61 inches |5 inch ||capacitive |960 x 540 (qhd) ||
q88h kid tablet pc|||kids tablet ||android 4.4 |||||$42.86||||||802.11b/g/n wireless internet |3.7v / 2000mah ||512mb ||mali-400 mp |a33 ||1.3ghz |tf card up to 32gb (not included) |8gb ||2.0mp |5.0mp with af |0.2780 kg |18.30 x 12.00 x 0.80 cm / 7.2 x 4.72 x 0.31 inches |7 inch |||1024 x 600 (wsvga) ||
teclast x3 plus 2 in 1 tablet pc|||tablet pc ||windows 10 |||teclast ||$249.99||||||802.11b/g/n wireless internet |7.6v / 3400mah lithium polymer battery ||6gb ||intel hd graphics 500 |intel celeron n3450 ||1.1ghz,quad core |tf card up to 128gb (not included) |64gb ||2.0mp |8.0mp |0.8710 kg |29.50 x 18.30 x 1.00 cm / 11.61 x 7.2 x 0.39 inches |11.6 inch ||capacitive |1920 x 1080 (fhd) ||
lenovo yoga book digital drawing tablet pc|||tablet pc ||android 6.0 |||lenovo ||$389.99||||||802.11 a/b/g/n/ac wireless internet |3.7v / 8500mah ||4gb ||intel hd graphics 400 |intel atom x5 z8550 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||2.0mp |5.0mp with af |0.6900 kg |25.60 x 17.00 x 0.96 cm / 10.08 x 6.69 x 0.38 inches |10.1 inch ||capacitive,ips |1920 x 1200 (wuxga) ||
huawei honor t1 - 821w tablet pc|||tablet pc ||android 4.4 |||huawei ||$169.96||||||802.11 a/b/g/n/ac wireless internet |3.7v / 4800mah, li-ion polymer battery ||2gb ||adreno 306 |msm8916 ||1.2ghz,quad core |tf card up to 32gb (not included) |16gb ||0.3mp |0.3mp |0.3500 kg |21.06 x 12.77 x 0.79 cm / 8.29 x 5.03 x 0.31 inches |8 inch ||capacitive (5-point) |1280 x 800 (wxga) ||
716 kids tablet pc|||kids tablet ||android 4.4 |||||$53.19||||||802.11b/g/n wireless internet |3.7v / 3000mah ||512mb ||mali-400 |rk3126 ||1.2ghz,quad core |tf card up to 32gb (not included) |8gb ||0.3mp |2.0mp |0.3070 kg |19.10 x 12.80 x 1.20 cm / 7.52 x 5.04 x 0.47 inches |7 inch ||capacitive |1024 x 600 (wsvga) ||
chuwi hi10 tablet pc|||tablet pc ||android 5.1,windows 10 |||chuwi ||$200.99||||||802.11b/g/n wireless internet |3.7v / 6600mah ||4gb |||intel cherry trail x5-z8350 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||5.0mp |8.0mp |0.4740 kg |25.75 x 17.10 x 0.89 cm / 10.14 x 6.73 x 0.35 inches |10.1 inch ||capacitive (10-point) |1920 x 1200 (wuxga) ||
asus zenpad 3s 10 z500m tablet pc|||tablet pc ||android 6.0 |||asus ||$387.62||||||802.11 a/b/g/n/ac wireless internet |built-in 3.7v / 5900mah lithium ion polymer battery ||4gb ||powervr gx6250 |mtk mt8176 ||dual-core 2.1 ghz +quad-core 1.7 ghz |tf card up to 128gb (not included) |64gb ||2.0mp |2.0mp |0.430 kg |24.05 x 16.37 x 0.58 cm / 9.47 x 6.44 x 0.23 inches |9.7 inch ||capacitive (10-point),ips |2048 x 1536 (qxga) ||
excelvan 711 kids tablet pc|||kids tablet ||android 4.4 |||excelvan ||$59.39||||||802.11b/g/n wireless internet |3000mah ||512mb ||opengl es 2.0 |rk3126 ||1.2ghz,quad core |tf card up to 64gb (not included) |8gb ||2.0mp ||0.3500 kg |23.00 x 13.00 x 1.20 cm / 9.06 x 5.12 x 0.47 inches |7 inch ||capacitive (5-point) |1024 x 600 (wsvga) ||
jumper ezpad 6 2 in 1 tablet pc|||tablet pc ||windows 10 |||jumper ||$185.99||||||802.11b/g/n wireless internet |3.8v / 7000mah, li-ion polymer battery ||4gb ||intel hd graphics 400 |intel cherry trail x5-z8350 ||1.44ghz,quad core ||64gb ||0.3mp |0.3mp |0.7000 kg |29.00 x 18.00 x 1.00 cm / 11.42 x 7.09 x 0.39 inches |11.6 inch ||ips |1920 x 1080 (fhd) ||
q88h kid tablet pc|||kids tablet ||android 4.4 |||||$51.07||||||802.11b/g/n wireless internet |3.7v / 2000mah ||512mb ||mali-400 mp |a33 ||1.3ghz |tf card up to 32gb (not included) |8gb ||2.0mp |5.0mp |0.2780 kg |18.30 x 12.00 x 0.80 cm / 7.2 x 4.72 x 0.31 inches |7 inch |||1024 x 600 (wsvga) ||
pipo p7 tablet pc|||tablet pc ||android 4.4 |||pipo ||$158.71||||||802.11b/g/n wireless internet |6400mah, li-ion polymer battery ||2gb ||mali-t764 |rk3288 ||1.8ghz,quad core |tf card up to 64gb (not included) |16gb ||2.0mp |2.0mp |0.5350 kg |24.00 x 17.00 x 0.90 cm / 9.45 x 6.69 x 0.35 inches |9.4 inch ||capacitive (10-point) |1280 x 800 (wxga) ||
chuwi vi10 plus tablet pc|||tablet pc ||remix os 2.0 |||chuwi ||$149.76||||||802.11b/g/n wireless internet |3.7v/8400mah ||2gb ||intel hd graphic(gen8) |cherry trail z8300 ||1.44ghz,quad core |tf card up to 128gb (not included) |32gb ||0.3mp |0.3mp |0.6860 kg |27.64 x 18.48 x 0.88 cm / 10.88 x 7.28 x 0.35 inches |10.8 inch ||capacitive (10-point),ips |1920 x 1280 ||
bdf e86 kids tablet pc|||kids tablet ||android 4.4 |||bdf ||$51.97||||||802.11b/g/n wireless internet |3.7v / 2500mah ||512mb |||a33 ||1.2ghz,quad core |tf card up to 32gb (not included) |4gb ||2.0mp |5.0mp |0.2820 kg |19.10 x 12.60 x 1.42 cm / 7.52 x 4.96 x 0.56 inches |7 inch ||capacitive (5-point) |1024 x 600 (wsvga) ||
gpd xd game tablet pc 64gb rom|||game tablet ||android 4.4 |||gpd ||$169.99||||||802.11b/g/n wireless internet |6000mah ||2gb ||mali-764 |rk3288 ||600mhz,quad core |tf card up to 128gb (not included) |64gb ||||0.300 kg |15.50 x 8.90 x 2.40 cm / 6.1 x 3.5 x 0.94 inches |5 inch ||capacitive |1280 x 720 (hd 720) ||
teclast x5 pro 2 in 1 tablet pc|||tablet pc ||windows 10 |||teclast ||$610.87||||||802.11 a/b/g/n/ac wireless internet |built-in 7.6v / 5000mah lithium ion polymer battery ||8gb ||intel hd graphice 615 |intel kaby lake core m3-7y30 ||1ghz,dual core |tf card up to 128gb (not included) |256gb ||2.0mp |5.0mp |1.0070 kg |30.20 x 20.10 x 1.00 cm / 11.89 x 7.91 x 0.39 inches |12.2 inch ||capacitive (10-point) |1920 x 1200 (wuxga) ||
