TITLE|BLUETOOTH_VERSION|USB_VERSION|DEVICE_TYPE|SIM_CARD_SLOT|OS|OS_BITS|SIM_CARD_TYPE|BRAND|MODEL|PRICE|WIRELESS_CONNECTIVITY|NETWORK_4G|NETWORK_3G|NETWORK_2G|NETWORK_TYPE|WIFI|BATTERY_CAPACITY|BATTERY_TYPE|RAM_CAPACITY|RAM_TYPE|GPU|CPU|CPU_FREQ|CPU_CORES|EXTERNAL_MEMORY|STORAGE_SSD|STORAGE_HDD|CAMERA_FRONT|CAMERA_BACK|WEIGHT|PRODUCT_SIZE|SCREEN_SIZE|SCREEN_PPI|SCREEN_TYPE|SCREEN_RESOLUTION|COLOR|ETHERNET_SPEED
Samsung Galaxy S8 64GB Unlocked Phone - International Version (Maple Gold)|||||||nano sim|Samsung|Galaxy S8|$646.99|||||||3000mah ||||||4x2.3 GHz & 4x1.7 GHz|8|microSD|64GB||8MP AF F1.7 Aperture|Dual Pixel 12MP AF OIS|5.47 ounces|5.9 x 0.3 x 2.7 inches|5.8-inch||Quad HD+ Super AMOLED|2960x1440|Maple Gold|
ASUS ZenFone 3 Deluxe 5.7-inch AMOLED FHD display, 6GB RAM 64GB storage Unlocked Dual SIM Cell Phone, US Warranty (ZS570KL-Glacier Silver)||||dual sim|Android 6.0||nano sim|Asus|ZenFone 3 Deluxe|$374.99|||||||||6GB||Adreno 530|Qualcomm Snapdragon S820|||microSD|64GB||8MP|23MP|6.4 ounces|6.2 x 3 x 0.2 inches|5.7-Inch||Super AMOLED FHD|1920x1080|Glacier Silver|
Sony Xperia XZ1 Factory Unlocked Phone - 5.2" Full HD HDR Display - 64GB - Black (U.S. Warranty)||||dual sim|Android O|||Sony|Xperia XZ1|$596.50|||||||2700mAh||4GB||Qualcomm Adreno 540|qualcomm snapdragon 835|||microSD|64GB||13MP|19MP|5.4 ounces|5.8 x 0.2 x 2.8 inches|5.2”||Full HD HDR Triluminous display|1920x1080|Black|
Huawei Mate 9 Pro LON-L29C 6GB / 128GB 5.5-inch 4G LTE Dual SIM FACTORY UNLOCKED - International Stock No Warranty (GREY)||||dual sim|google_android||nano sim|Huawei|Mate 9 Pro|$662.90|||||||4000mah ||6GB|||Hisilicon Kirin 960 Octa-core||8||128GB||8MP|20MP + 12MP|||5.5 inches||AMOLED||GREY|
Alcatel Idol 5S - 32 GB - Unlocked (AT&T/Sprint/T-Mobile/Verizon) - Crystal Grey|||||android 7.1 |||Alcatel|Idol 5S|$279.99|||||||||3GB|||Qualcomm Snapdragon 625|2.0 GHz|8|microSD|32GB||8MP|12MP|||5.2”||full HD|1920x1080|Crystal Grey|
|||||||||||||||||||||||||||||||||||||
Fire HD 8 Tablet with Alexa, 8" HD Display, 16 GB, Black - with Special Offers (Previous Generation - 6th)|||||Fire OS 5|||Amazon|Fire HD 8|$89.99||||||802.11a, 802.11b, 802.11g, or 802.11n |||||||1.3 GHz|4|microSD|16GB|||2MP|13 oz|8.4" x 5.0" x 0.4"|8"|189|HD|1280 x 800|Black|
ASUS ZenPad 8 Dark Gray 8-inch Android Tablet [Z380M] 2MP Front / 5MP Rear PixelMaster Camera, WXGA TouchScreen, 16GB Onboard Storage, Quad-Core 1.3GHz Processor, 802.11a/b/g/n WiFi|||||Android 6.0|||ASUS|ZenPad 8|$127.46||||||802.11bgn|||2GB|DDR3L SDRAM||MediaTek MT8163|1.3GHz|4|microSD|16GB||2MP|5MP|12.8 ounces|8.2 x 4.8 x 0.3 inches|8 inches||IPS|1280 x 800|Gray|
Huawei + Harman Kardon MediaPad M3 8.0 Octa Core 8.4" Android (Marshmallow) +EMUI Tablet, WiFi only, 32GB, Moonlight Silver (US Warranty)|||||Android 6.0|||Huawei|MediaPad M3 8.0|$289.00|||||||||4GB||||2.3 GHz|8||32GB||8MP|8MP|0.7 lb|0.3 x 8.5 x 4.9 in|8.4-inch||IPS|2560 x 1600|Moonlight Silver|
Apple iPad 3 Retina Display Tablet 16GB, Wi-Fi, Black (Certified Refurbished)|||||Apple iOS 5|||Apple|IPad 3|$179.94||||||802.11a/b/g/n|||1 GB|||Apple A5X||2||16GB|||5MP|2.9 pounds|15.3 x 11.8 x 3.1 inches|9.7 in||Retina|2048 x 1536|Black|
