TITLE|BLUETOOTH_VERSION|USB_VERSION|DEVICE_TYPE|SIM_CARD_SLOT|OS|OS_BITS|SIM_CARD_TYPE|BRAND|MODEL|PRICE|WIRELESS_CONNECTIVITY|NETWORK_4G|NETWORK_3G|NETWORK_2G|NETWORK_TYPE|WIFI|BATTERY_CAPACITY|BATTERY_TYPE|RAM_CAPACITY|RAM_TYPE|GPU|CPU|CPU_FREQ|CPU_CORES|EXTERNAL_MEMORY|STORAGE_SSD|STORAGE_HDD|CAMERA_FRONT|CAMERA_BACK|WEIGHT|PRODUCT_SIZE|SCREEN_SIZE|SCREEN_PPI|SCREEN_TYPE|SCREEN_RESOLUTION|COLOR|ETHERNET_SPEED
ASUS ZenFone 4, 5.5-inch, FHD IPS, 4GB RAM, 64GB storage Dual SIM, Unlocked Cell Phone, US/Canada Warranty, Midnight Black (ZE554KL-S630-4G64G-BK)||||||||ASUS|ZenFone 4|$399.00|||||||||||||||||||||||||||
Huawei - Honor 6X Unlocked Smartphone with Dual Camera (5.5" Gray, 32GB Storage 3GB RAM) US Warranty||||||||Huawei – Honor|6X|$199.99|||||||||||||||||||||||||||
Nubia Z11 Mini Dual SIM Unlocked Smartphone (5.0" FHD Black, 32GB Storage 3GB RAM) US Warranty||||||||Nubia|Z11|$169.99|||||||||||||||||||||||||||
Nokia 6 TA-1025 Unlocked Smartphone with Dual Camera (5.5" Silver, 32GB Storage 3GB RAM) US Warranty||||||||Nokia|6|$229.00|||||||||||||||||||||||||||
LG V20 64GB H910A AT&T Unlocked GSM 4G LTE Quad-Core Phone w/ Dual Rear Camera (16 MP + 8 MP) – Titan||||||||LG|V20|$299.99|||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
BlackBerry - KEYone 4G LTE with 32GB Memory Unlocked Cell Phone for Verizon – Silver|||Smartphone|single sim|Android 7.1||nano sim|BlackBerry|KEYone|$549.99||CDMA, LTE, WCDMA (UMTS)||||Bluetooth, Wireless A, Wireless B, Wireless G, Wireless N, Wireless AC|3505 mAh||3 gigabytes|||Qualcomm Snapdragon 625|2 gigahertz|8|microSD|32 gigabytes||8 megapixels|16 megapixels|6.3 ounces|5.9 inches x 2.9 inches x 0.4 inches|4.5 inches||IPS||Silver|
ZTE - Axon 7 mini 4G LTE with 32GB Memory Cell Phone (Unlocked) - Ion Gold|||Smartphone|dual sim|Android 6.0||nano sim|ZTE|Axon 7 mini|$199.99||1700, 2100, 2300, 2400, 2900, 450, 700, 800, 850, 900|1700, 1900, 2100, 850, 900|1800, 1900, 850, 900||Bluetooth, Wireless B, Wireless G, Wireless N|2705 mAh||3 gigabytes|||Qualcomm Snapdragon 617|1.5 gigahertz|8|microSD|32 gigabytes||8 megapixels|16 megapixels|5.4 ounces|5.8 inches x 2.8 inches x 0.3 inches |5.2 inches||AMOLED|1920 x 1080|Ion Gold|
