TITLE|BLUETOOTH_VERSION|WIFI|EXTERNAL_MEMORY|ROM|RAM|PRICE|NETWORK_2G|NETWORK_3G|NETWORK_4G|WIRELESS_CONNECTIVITY|BATTERY_CAPACITY|CAMERA_BACK|CAMERA_FRONT|SIM_CARD_TYPE|PRODUCT_SIZE|WEIGHT|SCREEN_TYPE|SCREEN_SIZE|SCREEN_RESOLUTION|GPU|CPU|OS|CPU_CORES
nokia 3310 (2017) dual sim dark blue|3.0, a2dp|no|microsd, up to 32 gb (dedicated slot)||16 mb|94 €|gsm 900 / 1800 sim 1 & sim 2|||gsm|removable li-ion 1200 mah battery|2 mp, led flash|no|dual sim (mini-sim, dual stand-by)|115.6 x 51 x 12.8 mm (4.55 x 2.01 x 0.50 in)|109 g|tft|2.4 inches (~30.3% screen-to-body ratio)|240 x 320 pixels (~167 ppi pixel density)||||
nokia xl dual sim blue|yes, v3.0 with a2dp, hs|wi-fi 802.11 b/g/n, wi-fi hotspot|microsd, up to 32 gb|4 gb| 768 mb ram|133 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 900 / 2100 sim 1|||li-ion 2000 mah battery (bn-02)|5 mp, 2592 х 1944 pixels, autofocus, led flash|yes, 2 mp|dual sim (micro-sim, dual stand-by)|141.4 x 77.7 x 10.9 mm|190 g|ips lcd capacitive touchscreen, 16m colors|480 x 800 pixels, 5.0 inches (~187 ppi pixel density)||adreno 203|qualcomm msm8225 snapdragon s4 play|android os, v4.1.2 (jelly bean)|dual-core 1 ghz cortex-a5
nokia xl dual sim black|yes, v3.0 with a2dp, hs|wi-fi 802.11 b/g/n, wi-fi hotspot|microsd, up to 32 gb|4 gb| 768 mb ram|133 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 900 / 2100 sim 1|||li-ion 2000 mah battery (bn-02)|5 mp, 2592 х 1944 pixels, autofocus, led flash|yes, 2 mp|dual sim (micro-sim, dual stand-by)|141.4 x 77.7 x 10.9 mm|190 g|ips lcd capacitive touchscreen, 16m colors|480 x 800 pixels, 5.0 inches (~187 ppi pixel density)||adreno 203|qualcomm msm8225 snapdragon s4 play|android os, v4.1.2 (jelly bean)|dual-core 1 ghz cortex-a5
nokia xl dual sim orange|yes, v3.0 with a2dp, hs|wi-fi 802.11 b/g/n, wi-fi hotspot|microsd, up to 32 gb|4 gb| 768 mb ram|133 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 900 / 2100 sim 1|||li-ion 2000 mah battery (bn-02)|5 mp, 2592 х 1944 pixels, autofocus, led flash|yes, 2 mp|dual sim (micro-sim, dual stand-by)|141.4 x 77.7 x 10.9 mm|190 g|ips lcd capacitive touchscreen, 16m colors|480 x 800 pixels, 5.0 inches (~187 ppi pixel density)||adreno 203|qualcomm msm8225 snapdragon s4 play|android os, v4.1.2 (jelly bean)|dual-core 1 ghz cortex-a5
nokia 3310 (2017) dual sim gray|3.0, a2dp|no|microsd, up to 32 gb (dedicated slot)||||gsm 900 / 1800 sim 1 & sim 2|||gsm|removable li-ion 1200 mah battery|2 mp, led flash|no|dual sim (mini-sim, dual stand-by)|115.6 x 51 x 12.8 mm (4.55 x 2.01 x 0.50 in)|109 g|tft|2.4 inches (~30.3% screen-to-body ratio)|240 x 320 pixels (~167 ppi pixel density)||||
nokia 3 dual sim 16gb black|4.0, a2dp, le|wi-fi 802.11 b/g/n, dual-band, wifi direct, hotspot|microsd, up to 256 gb (dedicated slot)|16 gb| 2 gb ram|163 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 850 / 900 / 1900 / 2100|lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300)|gsm / hspa / lte|non-removable li-ion 2630 mah battery|8 mp, f/2.0, autofocus, led flash|8 mp, f/2.0, autofocus, 720p|dual sim (nano-sim, dual stand-by)|143.4 x 71.4 x 8.5 mm (5.65 x 2.81 x 0.33 in)|140 g (4.94 oz)|ips lcd capacitive touchscreen, 16m colors|5.0 inches (~67.3% screen-to-body ratio)|720 x 1280 pixels (~294 ppi pixel density)|mali-t720mp1|mediatek mt6737|android 7.0 (nougat)|quad-core 1.4 ghz cortex-a53
nokia xl dual sim yellow|yes, v3.0 with a2dp, hs|wi-fi 802.11 b/g/n, wi-fi hotspot|microsd, up to 32 gb|4 gb| 768 mb ram|133 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 900 / 2100 sim 1|||li-ion 2000 mah battery (bn-02)|5 mp, 2592 х 1944 pixels, autofocus, led flash|yes, 2 mp|dual sim (micro-sim, dual stand-by)|141.4 x 77.7 x 10.9 mm|190 g|ips lcd capacitive touchscreen, 16m colors|480 x 800 pixels, 5.0 inches (~187 ppi pixel density)||adreno 203|qualcomm msm8225 snapdragon s4 play|android os, v4.1.2 (jelly bean)|dual-core 1 ghz cortex-a5
htc desire vt t328t black|yes, v4.0 with a2dp|wi-fi 802.11 b/g/n, wi-fi hotspot, dlna|microsd, up to 32 gb|4 gb storage| 512 mb ram||gsm 900 / 1800 / 1900|hsdpa 1900 / 2100 / td-scdma|||li-ion 1650 mah battery|5 mp, 2592 х 1944 pixels, autofocus, led flash|no|mini-sim|119.5 x 62.2 x 9.6 mm|118 g|capacitive touchscreen, 16m colors|480 x 800 pixels, 4.0 inches (~233 ppi pixel density)||adreno 200|qualcomm msm7227a snapdragon|android os, v4.0 (ice cream sandwich)|1 ghz cortex-a5
htc desire vt t328t red|yes, v4.0 with a2dp|wi-fi 802.11 b/g/n, wi-fi hotspot, dlna|microsd, up to 32 gb|4 gb storage| 512 mb ram|177 €|gsm 900 / 1800 / 1900|hsdpa 1900 / 2100 / td-scdma|||li-ion 1650 mah battery|5 mp, 2592 х 1944 pixels, autofocus, led flash|no|mini-sim|119.5 x 62.2 x 9.6 mm|118 g|capacitive touchscreen, 16m colors|480 x 800 pixels, 4.0 inches (~233 ppi pixel density)||adreno 200|qualcomm msm7227a snapdragon|android os, v4.0 (ice cream sandwich)|1 ghz cortex-a5
htc desire 630 dual sim d630n dark gray|v4.1, a2dp|wi-fi 802.11 b/g/n, hotspot|microsd, up to 256 gb (dedicated slot)|16 gb| 2 gb ram|170 €|gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2|hsdpa 850 / 900 / 1900 / 2100|lte band 1(2100), 3(1800), 5(850), 8(900), 40(2300)|gsm / cdma / hspa / lte|removable li-ion 2200 mah battery|13 mp, f/2.4, autofocus, led flash|5 mp, f/2.8|dual sim (nano-sim, dual stand-by)|146.9 x 70.9 x 8.3 mm (5.78 x 2.79 x 0.33 in)|140 g (4.94 oz)|super lcd capacitive touchscreen, 16m colors|5.0 inches (~66.2% screen-to-body ratio)|720 x 1280 pixels (~294 ppi pixel density)|adreno 305|qualcomm snapdragon 400|android os, v6.0 (marshmallow)|quad-core 1.6 ghz cortex-a7
