{ComplexityConstant=0.7, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	13.45%	29.23%	18.17%	2930.00ms
{ComplexityConstant=0.7, Kernel=Puk kernel, BuildCalibrationModel=false}	25.91%	33.42%	28.05%	5272.00ms
{ComplexityConstant=0.7, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	34.50%	29.80%	27.53%	6893.00ms
{ComplexityConstant=0.7, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	5.13%	20.61%	8.22%	3779.00ms
{ComplexityConstant=0.7999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	13.63%	29.72%	18.58%	2041.00ms
{ComplexityConstant=0.7, Kernel=Puk kernel, BuildCalibrationModel=true}	30.56%	28.00%	27.41%	9103.00ms
{ComplexityConstant=0.7999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	31.43%	29.23%	26.96%	4850.00ms
{ComplexityConstant=0.7999999999999999, Kernel=Puk kernel, BuildCalibrationModel=false}	27.45%	33.58%	28.26%	2898.00ms
{ComplexityConstant=0.7, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	29.76%	28.82%	26.74%	7170.00ms
{ComplexityConstant=0.8999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	13.74%	29.72%	18.68%	1678.00ms
{ComplexityConstant=0.7999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	5.92%	22.00%	9.32%	3769.00ms
{ComplexityConstant=0.7999999999999999, Kernel=Puk kernel, BuildCalibrationModel=true}	30.73%	28.00%	27.57%	6766.00ms
{ComplexityConstant=0.8999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	31.52%	29.56%	27.21%	3655.00ms
{ComplexityConstant=0.8999999999999999, Kernel=Puk kernel, BuildCalibrationModel=false}	26.38%	33.58%	28.26%	2900.00ms
{ComplexityConstant=0.7999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	30.73%	28.41%	26.22%	6858.00ms
{ComplexityConstant=0.9999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	14.07%	28.74%	18.78%	1624.00ms
{ComplexityConstant=0.8999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	5.95%	22.00%	9.36%	3476.00ms
{ComplexityConstant=0.8999999999999999, Kernel=Puk kernel, BuildCalibrationModel=true}	31.22%	28.49%	28.06%	6427.00ms
{ComplexityConstant=0.9999999999999999, Kernel=Puk kernel, BuildCalibrationModel=false}	26.45%	33.74%	28.37%	2733.00ms
{ComplexityConstant=0.9999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	32.08%	30.13%	27.76%	4130.00ms
{ComplexityConstant=0.8999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	29.16%	29.06%	27.01%	6527.00ms
{ComplexityConstant=1.0999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	14.28%	28.65%	18.93%	1420.00ms
{ComplexityConstant=0.9999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	5.97%	22.00%	9.39%	3163.00ms
{ComplexityConstant=0.9999999999999999, Kernel=Puk kernel, BuildCalibrationModel=true}	31.51%	28.57%	28.21%	5889.00ms
{ComplexityConstant=1.0999999999999999, Kernel=Puk kernel, BuildCalibrationModel=false}	26.31%	33.74%	28.32%	2522.00ms
