Resource URI	root.title	Graphics.GraphicType	Graphics.GraphicsManufacturer	Graphics.Graphicscard	Graphics.GraphicsMemory	Processor.ClockSpeed	KeySpecification.Processormanufacturer	Processor.ProcessorModel	Processor.ProcessorNumber	Storage.Harddrivecapacity	Storage.SSDCapacity	Memory.Memorytype	Memory.RAMMemory	root.price	KeySpecification.Formfactor	Operatingsystem.OperatingSystem	Warranty.ManufacturerWarranty	KeySpecification.Screensize	Display.ScreenResolution
http://www.debenhamsplus.com/desktops/p/1204726/asus-pentium-n3700-4gb-1tb-win-10-desktop-benq-27-full-hd-monitor	"asus pentium n3700 4gb 1tb win 10 desktop + benq 27"" full hd monitor"	integrated	intel			1.6ghz	intel	intel pentium	n3700	1tb		ddr3l sdram	4gb	£32.97	mini pc	windows 10			
http://www.debenhamsplus.com/desktops/p/1205858/new-apple-imac-core-i5-8gb-1tb-3.4ghz-27-inch-all-in-one-with-retina-5k-display	new apple imac core i5 8gb 1tb 3.4ghz 27 inch all in one with retina 5k display	integrated	amd	radeon pro 570	4gb	3.4ghz	intel	intel core i5		1tb		ddr4 sdram	8gb	£1625	all in one	apple os x 10.12 sierra	1 year warranty	27in	5120 x 2880
http://www.debenhamsplus.com/desktops/p/1176003/stormforce-cyclone-core-i7-7700k-16gb-3tb-256gb-ssd-geforce-gtx-1070-windows-10-gaming-desktop	stormforce cyclone core i7-7700k 16gb 3tb + 256gb ssd geforce gtx 1070 windows 10 gaming desktop	dedicated	nvidia	geforce gtx 1070	8gb	4.2ghz	intel	intel core i7	7700k	3tb	256gb		16gb	£1559	atx	windows 10	3 year warranty		
http://www.debenhamsplus.com/desktops/p/1194693/dell-optiplex-3050-core-i5-7500t-4gb-500gb-dvd-rw-19.5-inch-windows-10-professional-all-in-one	dell optiplex 3050 core i5-7500t 4gb 500gb dvd-rw 19.5 inch windows 10 professional all in one	integrated	intel			2.7ghz	intel	intel core i5	7500t	500gb		ddr4 sdram	4gb	£219.97	all in one	windows 10 pro	1 year warranty	19.5in	1600 x 900
http://www.debenhamsplus.com/desktops/p/1199114/lenovo-ideacentre-y700-34ish-core-i5-6400-8gb-1tb-geforce-gtx-1070-dvd-rw-windows-10-gaming-desktop	lenovo ideacentre y700-34ish core i5-6400 8gb 1tb geforce gtx 1070 dvd-rw windows 10 gaming desktop	dedicated	nvidia	geforce gtx 1070	8gb	2.7ghz	intel	intel core i5	6400	1tb			8gb	£1225	tower	windows 10	1 year warranty		
http://www.debenhamsplus.com/desktops/p/1164989/fujitsu-celsius-m740-intel-xeon-e5-1650-v4-32gb-2tb-256gb-ssd-dvd-rw-windows-10-professional-worksta	fujitsu celsius m740 intel xeon e5-1650-v4 32gb 2tb 256gb ssd dvd-rw windows 10 professional worksta	dedicated	nvidia	quadra m4000	8gb	3.6ghz	intel	xeon e5	1650v4	2tb	256gb	ddr4 sdram	32gb	£313.97	tower	windows 10 pro	3 years warranty		
http://www.debenhamsplus.com/desktops/p/1176014/stormforce-geo-core-i7-7700k-32gb-3tb-256gb-ssd-geforce-gtx-1080-windows-10-gaming-desktop	stormforce geo core i7-7700k 32gb 3tb 256gb ssd geforce gtx 1080 windows 10 gaming desktop	dedicated	nvidia	geforce gtx 1080	8gb	4.8ghz	intel	intel core i7	7700k	3tb	256gb		32gb	£2055	atx	windows 10	3 year warranty		
http://www.debenhamsplus.com/desktops/p/1067530/hp-workstation-z240-mt-1-x-xeon-e3-1245v5-3.5-ghz-ram-8-gb-hdd-1-tb-dvd-supermulti-hd-graphics-p530-gige-windows-7-professional-64-bit-edition-windows-10-pro-do	hp z240 intel xeon e3-1245-v5 8gb 1tb dvd-rw windows 7 professional workstation desktop	integrated	intel			3.5ghz	intel	xeon e3	1245v5	1tb		ddr4 sdram	8gb	£238.97	tower	windows 7 pro	3 years warranty		
http://www.debenhamsplus.com/desktops/p/1149055/hewlett-packard-hp-workstation-z840-tower-5u-1-x-xeon-e5-2620v4-2.1-ghz-ram-16-gb-hdd-1-tb-dvd-supermulti-no-graphics-gige-win-10-pro-64-bit-win-7-pro-64-bit-downgrade-pre-	hp workstation z840 intel xeon e5-2620-v4 16gb 1tb dvd-rw windows 10 professional workstation deskto	integrated	intel			2.1ghz	intel	xeon e5	2620v4	1tb		ddr4 sdram	16gb	£649.98		windows 7 pro	3 years warranty		
http://www.debenhamsplus.com/desktops/p/1210934/hp-eliteone-800-g3-core-i7-7500-4gb-500gb-dvd-writer-23.8-inch-windows-10-professional-all-in-one	hp eliteone 800 g3 core i7-7500 4gb 500gb dvd-writer 23.8 inch windows 10 professional all in one	integrated	intel			3.4ghz	intel	intel core i5	i5-7500	500gb		ddr4 sdram	4gb	£157.97	all in one	windows 10 pro	3 years warranty	23.8in	1920 x 1080
http://www.debenhamsplus.com/desktops/p/1069220/hewlett-packard-hp-t730-thin-client-tower-1-x-rx47bb-.7-ghz-ram-4-gb-flash-16-gb-firepro-w100-gige-hp-thinpro-3-bit-monitor-_-none	hp t730 amd rx427bb 4gb 16gb firepro w2100 thin client desktop				2gb	2.7ghz	amd	rx427bb				ddr3l sdram	4gb	£60.97		hp thinpro 32-bit	3 years warranty		
http://www.debenhamsplus.com/desktops/p/1046675/apple-imac-i5-3.1ghz-8gb-1tb-1.5-retina-4k-all-in-one	"apple imac intel core i5 8gb ram 1tb hdd 21.5"" 4k retina apple os x 10.12 sierra all in one"	dedicated	intel			3.1ghz	intel	intel core i5		1tb		lpddr3 sdram	8gb	£1135	all in one	apple os x 10.12 sierra	1 year warranty	21.5in	4096 x 2304
