Resource URI	root.title	Graphics.GraphicType	Graphics.GraphicsManufacturer	Graphics.Graphicscard	Graphics.GraphicsMemory	KeySpecification.Processormanufacturer	Processor.ClockSpeed	Processor.ProcessorModel	Processor.ProcessorNumber	Storage.Harddrivecapacity	Memory.Memorytype	Memory.RAMMemory	root.price	Media.OpticalDrive	Operatingsystem.OperatingSystem	Warranty.ManufacturerWarranty	KeySpecification.Screensize	KeySpecification.Storage	DisplayandKeyboard.ScreenResolution	Battery.BatteryRunTime
http://www.debenhamsplus.com/laptops/p/1160813/acer-travelmate-x349-m-core-i3-6100u-4gb-128gb-ssd-14-inch-windows-7-professional-laptop	acer travelmate x349-m core i3-6100u 4gb 128gb ssd 14 inch windows 7 professional laptop	integrated				intel	2.3ghz	intel core i3	6100u		ddr4 sdram	4gb	£114.97	no optical drive	windows 7 pro	1 year warranty	14in	128gb	1366 x 768	10hours
http://www.debenhamsplus.com/laptops/p/1160905/hp-probook-650-g2-core-i5-6200u-2.3ghz-4gb-500gb-dvd-rw-15.6-inch-windows-10-professional-laptop	hp probook 650 g2 core i5-6200u 4gb 500gb dvd-rw 15.6 inch windows 10 professional laptop	integrated				intel	2.3ghz	intel core i5	6200u	500gb	ddr4 sdram	4gb	£820	dvd-rw	windows 10 pro	1 year warranty	15.6in	500gb	1366 x 768	9.75hours
http://www.debenhamsplus.com/laptops/p/1183279/hp-pavilion-15-bc006na-core-i5-6300hq-8gb-1tb-128gb-ssd-geforce-gtx-960m-15.6-inch-windows-10-gami	hp pavilion 15-bc006na core i5-6300hq 8gb 1tb + 128gb ssd geforce gtx 960m 15.6 inch windows 10 gami												£115.97							
http://www.debenhamsplus.com/laptops/p/1202513/fujitsu-lifebook-t937-core-i7-7600u-16gb-512gb-ssd-13.3-inch-windows-10-professional-laptop	fujitsu lifebook t937 core i7-7600u 16gb 512gb ssd 13.3 inch windows 10 professional laptop	integrated				intel	3.9ghz	intel core i7	7600u		ddr4 sdram	16gb	£220.97	no optical drive	windows 10 pro	2 year warranty	13.3in	512gb	1920 x 1080	10hour(s)
http://www.debenhamsplus.com/laptops/p/1190995/toshiba-portg-z30-c-16z-core-i5-6300u-8gb-256gb-ssd-13.3-inch-windows-10-professional-laptop	toshiba portégé z30-c-16z core i5-6300u 8gb 256gb ssd 13.3 inch windows 10 professional laptop	integrated				intel	2.4ghz	intel core i5	6300u		ddr3l sdram	8gb	£229.97	no optical drive	windows 10 pro	1 year warranty	13.3in	256gb	1920 x 1080	14hours
http://www.debenhamsplus.com/laptops/p/1171149/lenovo-thinkpad-yoga-260-core-i7-6500u-8gb-256gb-ssd-12.5-inch-windows-10-pro-convertible-laptop	lenovo thinkpad yoga 260 core i7-6500u 8gb 256gb ssd 12.5 inch windows 10 pro convertible laptop	integrated				intel	2.5ghz	intel core i7	6500u		ddr4 sdram	8gb	£375.97	no optical drive	windows 10	1 year warranty	12.5in	256gb	1920 x 1080	10hours
http://www.debenhamsplus.com/laptops/p/1163440/asus-zenbook-core-i5-7200-8gb-512gb-ssd-12.5-inch-windows-10-laptop	asus zenbook ux390ua core i5-7200 8gb 512gb ssd 12.5 inch windows 10 laptop	integrated				intel	2.5ghz	intel core i5	7200u		lpddr3 sdram	8gb	£249.97	no optical drive	windows 10	1 year warranty	12.5in	512gb	1920 x 1080	9hours
http://www.debenhamsplus.com/laptops/p/1110350/hp-elitebook-840-g3-core-i5-6200u-2.3ghz-4gb-500gb-14-inch-windows-7-professional-laptop	hp elitebook 840 g3 core i5-6200u 4gb 500gb 14 inch windows 7 professional laptop	integrated				intel	2.3ghz	intel core i5	6200u	500gb	ddr4 sdram	4gb	£154.97	no optical drive	windows 7 pro	3 year warranty	14in	500gb	1920 x 1080	10.5hours
http://www.debenhamsplus.com/laptops/p/1167230/msi-dominator-pro-gt62vr-7re-core-i7-7700hq-16gb-1tb-256gb-ssd-geforce-gtx-1070-15.6-inch-windows	msi dominator pro gt62vr 7re core i7-7700hq 16gb 1tb + 256gb ssd geforce gtx 1070 15.6 inch windows	dedicated	nvidia	geforce gtx 1070	8gb	intel	2.8ghz	intel core i7	i7-7700hq	1tb	ddr4 sdram	16gb	£238.97		windows 10	2 years warranty	15.6in	256gb	1920 x 1080	
http://www.debenhamsplus.com/laptops/p/1174792/hp-elitebook-840-g3-core-i5-6200u-8gb-256gb-ssd-14-inch-windows-10-professional-laptop	hp elitebook 840 g3 core i5-6200u 8gb 256gb ssd 14 inch windows 10 professional laptop	integrated				intel	2.3ghz	intel core i5	6200u		ddr4 sdram	8gb	£283.97	no optical drive	windows 10 pro	3 year warranty	14in	256gb	1920 x 1080	13.5hours
