root.title|Processor.ClockSpeed|KeySpecification.Processormanufacturer|Processor.ProcessorModel|Processor.ProcessorNumber|Storage.Harddrivecapacity|Memory.RAMMemory|root.price|Operatingsystem.OperatingSystem|Warranty.ManufacturerWarranty|KeySpecification.Screensize|Display.ScreenResolution|Display.Screensize|Battery.BatteryRunTime|KeySpecification.Colour|Connectivity.WIFI/3GConnectivity(Y/N)
microsoft surface pro 4 intel core i5 4gb ram 128gb hdd windows 10 tablet|2.4ghz|intel|intel core i5|i5-6300u||4gb|£112.97|windows 10 pro|1 year warranty|12.3inch|2736 x 1824|12.3inch|9hours|silver|wi-fi
new apple ipad pro wi-fi + 512gb 10.5 inch tablet - gold||apple|a10x fusion||512gb||£855|apple ios 10|1 year warranty|10.5in|2224 x 1668|10.5in|10hours|gold|wi-fi
new apple ipad pro wi-fi + 64gb 10.5 inch tablet - rose gold||apple|a10x fusion||64gb||£605|apple ios 10|1 year warranty|10.5|2224 x 1668|10.5|10hours|rose gold|wi-fi
samsung galaxy tab a octa core 1.8ghz 2gb 16gb 10.1 inch android 6.0 tablet|1.6ghz||8 core||16gb|2gb|£59.97|android 6.0||10.1inch|1920 x 1080|10.1inch||black|wi-fi
new apple ipad pro wi-fi + 256gb 10.5 inch tablet - gold||apple|a10x fusion||256gb||£685|apple ios 10|1 year warranty|10.5in|2224 x 1668|10.5in|10hours|gold|wi-fi
new apple ipad 128gb wifi + cellular 3g/4g 9.7 inch ios tablet - space grey||apple|a9||||£555|apple ios 10|||2048 x 1536|9.7 in|10 hours||
new apple ipad pro wi-fi + cellular 3g/4g 512gb 10.5 inch tablet - gold||apple|a10x fusion||512gb||£975|apple ios 10|1 year warranty|10.5in|2224 x 1668|10.5in|10hours|gold|wi-fi, 3g/4g
samsung galaxy tab s2 exynos 5 octa 3gb 32gb 8 inch android 5.0 tablet - gold|1.8ghz|samsung|samsung exynos|5433|32gb|3gb|£335|android 5.0||8gbinch|2048 x 1536|8gbinch||gold|wi-fi
apple ipad pro 256gb wifi + cellular 3g/4g 9.7 inch ios 9 tablet - gold||apple|a9x||256gb||£800|apple ios 9|1 year warranty|9.7in|2048 x 1536|9.7in|10hours|gold|wi-fi, 3g/4g
microsoft surface pro 4 intel core i7 8gb ram 256gb ssd windows 10 tablet|2.2ghz|intel|intel core i7|i7-6650u||8gb|£77.97|windows 10 pro|1 year warranty|12.3inch|2736 x 1824|12.3inch|9hours|silver|wi-fi
lenovo yogabook atom x5-z8550 4gb 64gb 10.1 inch full hd windows 10 cpmvertible laptop / tablet|||atom|x5|||£87.97|windows 10||||10.1 inch|||
samsung galaxy tab s2 exynos 5 octa 3gb 32gb 8 inch android 5.0 tablet - white|1.8ghz|samsung|samsung exynos|5433|32gb|3gb|£335|android 6.0||8inch|2048 x 1536|8inch||white|wi-fi
