Resource URI|root.title|root.price|PackageContents.PackageContents|BatteryInformation.RemoteControllerBattery|MediaSupported.DecoderFormat|MediaSupported.Videoformat|MediaSupported.Audioformat|MediaSupported.Support5.1SurroundSoundOutput|General.Type|General.RAM|General.GPU|General.Brand|General.Model|General.Processor|General.CPU|General.Core|General.Color|General.RAMType|General.ROM|Custom.SSD|PowerRequirement.PowerInputVol|PowerRequirement.PowerAdapterOutput|PowerRequirement.PowerAdapterInput|PowerRequirement.PowerType|DimensionandWeight.Productweight|DimensionandWeight.Productsize(LxWxH)|ProductDetails.Antenna|ProductDetails.5GWiFi|ProductDetails.PowerComsumption|ProductDetails.PowerSupply|ProductDetails.Interface|ProductDetails.HDMIVersion|ProductDetails.Bluetooth|ProductDetails.RJ45PortSpeed|FirmwareInformation.WiFiChip|FirmwareInformation.SystemBit|General.MaximumExternalHardDrivesCapacity|General.System|ProductDetails.WIFI|ProductDetails.HDMIFunction
http://www.gearbest.com/tv-box-mini-pc/pp_343433.html|hystou fmp03 fanless mini pc|$263.73|1 x mini pc, 1 x desk mount, 2 x wifi antennas, 1 x power adapter, 1 x power cord, 8 x screw, 1 x english user manual, 1 x driver cd |no |rm/rmvb,xvid/divx3/4/5/6 |1080p,asf,avc,rm,rmvb,wmv |aac,ac3,acc,rm,truehd,wav,wma |no |mini pc |16gb |intel hd graphics 4400 |hystou |fmp03 ||core-i5-4250u |2.6ghz |silver |ddr3 |4g emmc + 64g ssd ||12v |12v 5a |100-240v / 50-60hz |external power adapter mode |1.2500 kg |19.80 x 19.80 x 3.70 cm / 7.8 x 7.8 x 1.46 inches |yes |no |12v |charge adapter |dc power port,hdmi,lan,usb3.0,vga |2|unsupport |0|no |32bit ||||
http://www.gearbest.com/tv-box-mini-pc/pp_503488.html|alfawise h96 pro+ tv box|$67.99|1 x alfawise h96 pro+ tv box, 1 x remote control, 1 x hdmi cable, 1 x power adapter, 1 x english manual ||h.263,h.264,h.265 |asf,avi,dat,flv,iso,mkv,mov,mpeg,mpg,rm,rmvb,ts,vob,wmv |aac,ac3,mp3,ogg,wav,wma |yes |tv box |3gb |arm mali-t820mp3 ||h96 pro+ ||amlogic s912 |2.0ghz,octa core |black |ddr3 |32g ||5v |||external power adapter mode |0.2500 kg |10.70 x 10.70 x 2.00 cm / 4.21 x 4.21 x 0.79 inches ||yes ||charge adapter |av,dc power port,ethernet,hdmi,spdif,tf card,usb2.0 |2|support |||64bit |2tb |android 7.1 |802.11 a/b/g/n/ac |
http://www.gearbest.com/tv-box-mini-pc/pp_632308.html|magicsee iron+ tv box|$78.99|1 x magicsee iron+ tv box, 1 x charger, 1 x hdmi cable, 1 x remote control, 1 x english manual |3 x aaa batteries |h.264,h.265,hd mpeg4 |4k x 2k,h.265,vp9-10 profile-2 |aac,acc,ape,mp3,wma |yes |tv box |3g ram |mali-820mp3 |magicsee |iron+ |amlogic s912 |cortex a53 |2.0ghz ||ddr4 |16g rom,32g rom |||||external power adapter mode |0.2000 kg |16.00 x 14.00 x 3.50 cm / 6.3 x 5.51 x 1.38 inches ||yes |10w |charge adapter |av,dc power port,hdmi,lan,optical,usb2.0 |2|bluetooth 4.1 |1000m ||64bit |128gb |android 6.0 ||hdcp 
http://www.gearbest.com/tv-box-mini-pc/pp_449230.html|ix95 android smart box with 2.0ghz a53 quad core|$29.1|1 x ix95 android smart box, 1 x remote control, 1 x hdmi cable, 1 x power adapter, 1 x english manual ||h.264 |4k x 2k,avc,h.264,mpeg-1,mpeg2 |aac,ape,flac,ogg |no |tv box |1g ram |mali-450 ||ix95 |amlogic s905 |arm cortex-a53 |2.0ghz |black |ddr3 |8g rom ||5v |5v 2a |100-240v / 50-60hz |external power adapter mode |0.1550 kg |11.50 x 11.50 x 2.00 cm / 4.53 x 4.53 x 0.79 inches ||no ||charge adapter |av,dc 5v,hdmi,optical,rj45,spdif,tf card,usb2.0 |1||||64bit |2tb |android 5.1.1 |802.11b/g/n |
http://www.gearbest.com/tv-box-mini-pc/pp_614501.html|minix z83 - 4 tv box + minix k2 mini keyboard|$220.45|1 x minix z83 - 4 tv box, 11 x power adapter, 1 x hdmi cable, 1 x remote controller, 1 x antenna, 1 x english user manual |2 x aaa ( not included ) |h.263,h.264,h.265 |h.264,h.265 |aac,ac3,ddp,dts,flac,hd,mp3,ogg,truehd,wav,wma ||tv box |4g |intel hd graphic |minix |z83 - 4 ||intel atom x5-z8350 |quad core ||ddr3l |32g |||12v 3a ||external power adapter mode |0.9840 kg |12.70 x 12.70 x 2.40 cm / 5 x 5 x 0.94 inches ||||charge adapter |3.5mm audio,dc power port,ethernet,hdmi,mini dp ||support ||ap6255 |64bit ||windows 10 ||
http://www.gearbest.com/tv-box-mini-pc/pp_446519.html|bm8 set top box android amlogic s905x quad core|$57.47|1 x bm8 tv box, 1 x remote control, 1 x hdmi cable, 1 x power adapter, 1 x english manual ||h.264,h.265,hd avc/vc-1,hd mpeg1/2/4,realvideo8/9/10,rm/rmvb,xvid/divx3/4/5/6 |1080p,4k,asf,avi,avs,dat,flv,h.264,h.265,iso,mkv,mov,mpeg,mpg,rm,rmvb,ts,vob,vp9 profile-2,wmv |aac,ape,ddp,flac,hd,mp3,ogg,truehd,wav,wma ||tv box |2g |mali-450 ||bm8 ||amlogic s905x |2.0ghz,quad core |black |ddr3 |32g |||||external power adapter mode |0.2000 kg |9.80 x 9.80 x 2.60 cm / 3.86 x 3.86 x 1.02 inches ||yes ||charge adapter |av,dc power port,hdmi,rj45,tf card,usb2.0 ||bluetooth4.0 |||64bit ||android 6.0 |802.11 b/g/n/ac |
http://www.gearbest.com/tv-box-mini-pc/pp_649610.html|m96x max smart tv box|$52.98|1 x m96x max amlogic s905x smart tv box, 1 x power adapter, 1 x remote control, 1 x english user manual ||h.265 |asf,avi,dat,iso,mkv,mov,mpeg,mpg,rm,rmvb,ts,vob |aac,ape,ddp,flac,hd,mp3,ogg,truehd,wav,wma |yes |tv box |2g ram |mali-450 ||m96x max |s905x |arm cortex-a53 |2.0ghz,quad core ||ddr3 |16g rom |||||external power adapter mode |0.3000 kg |11.80 x 11.80 x 2.30 cm / 4.65 x 4.65 x 0.91 inches |no ||2.5w |charge adapter ||2|bluetooth4.0 |10 / 100m |ap6335 |64bit |32gb |android 7.1 ||cec 
http://www.gearbest.com/tv-box-mini-pc/pp_627267.html|thl box 1 pro tv box|$67.52|1 x tv box, 1 x hdmi cable, 1 x english user manual, 1 x remote control ||h.263,h.264,h.265,hd mpeg4 |4k,avi,mkv,mp4 |mp3,wav |no |tv box |1g,2g |mali-450 |thl ||s905x |cortex a53 |quad core ||ddr3 |16g,8g |||||external power adapter mode |0.1980 kg |10.50 x 10.50 x 2.00 cm / 4.13 x 4.13 x 0.79 inches |no |no |10w |charge adapter |av,dc power port,hdmi,rj45,tf card,usb2.0 |1.4|unsupport |100m |rtl8189 |32bit |128gb |android 6.0 ||cec 
http://www.gearbest.com/tv-box-mini-pc/pp_463452.html|km5 android tv pc box quad core amlogic s905x|$37.14|1 x km5 tv box, 1 x remote control, 1 x hdmi cable, 1 x power adapter, 1 x english manual ||"""hd mpeg1/2/4,h.265/avc,hd avc/vc-1,realvideo8/9/10,rm/rmvb,xvid/divx3/4/5/6 "|asf,avi,dat,flv,mkv,mov,mpeg,mpg,rm,rmvb,ts,vob,wmv |aac,ape,ddp,flac,hd,mp3,ogg,truehd,wav,wma |no |tv box |1g |mali-450 ||km5 ||amlogic s905x |2.0ghz,quad core |black |ddr3 |8g |||5v 2a ||external power adapter mode |0.1040 kg |9.80 x 9.80 x 2.60 cm / 3.86 x 3.86 x 1.02 inches ||no ||charge adapter |3.5mm audio,dc power port,hdmi,micro sd card slot,rj45,usb2.0 |2||||64bit ||android 6.0 |802.11b/g/n |
http://www.gearbest.com/tv-box-mini-pc/pp_372952.html|gole gole1 5 inch 720 x 1280 mini pc windows 10 / android 5.1|$149.39|1 x gole f1 5 inch mini pc, 1 x hdmi cable, 1 x power adapter, 1 x english manual ||h.264,h.265 |mov,mpeg-1,mpeg-4,mpeg2,mpg,rm,rmvb,wmv |aac,flac,ogg,rm,wav,wma |no |mini pc |4g |gen 8 graphics ||gole1 ||intel cherry trail z8300 |1.84ghz,quad core |golden |lpddr3 |32g ||5v |5v 3a ||external power adapter mode |0.200 kg |13.50 x 9.00 x 2.00 cm / 5.31 x 3.54 x 0.79 inches ||yes ||charge adapter |3.5mm audio,dc power port,ethernet,hdmi,micro usb,tf card,usb2.0,usb3.0 |2|bluetooth4.0 |||64bit ||android 5.1,windows 10 |802.11 b/g/n/ac |
http://www.gearbest.com/tv-box-mini-pc/pp_372953.html|gole gole1 5 inch 720 x 1280 mini pc windows 10 / android 5.1|$149.99|1 x gole f1 5 inch mini pc, 1 x hdmi cable, 1 x power adapter, 1 x english manual |||mov,mpeg-1,mpeg-4,mpeg2,mpg,rm,rmvb,wmv |aac,flac,ogg,rm,wav,wma ||mini pc |4g |gen 8 graphics ||gole1 |intel atom x5-z8350 |intel atom x5-z8350 |1.84ghz,quad core |golden |ddr3 |64g ||5v |5v 3a ||external power adapter mode |0.200 kg |13.50 x 9.00 x 2.00 cm / 5.31 x 3.54 x 0.79 inches ||||charge adapter |3.5mm audio,dc power port,ethernet,hdmi,micro usb,tf card,usb2.0,usb3.0 ||bluetooth4.0 |||64bit ||android 5.1,windows 10 |802.11 b/g/n/ac |
