Resource URI	root.title	Memory.Cardslot	RAM	STORAGE	Memory.Internal	root.price	Battery. 	Body.Dimensions	Body.Weight	Display.Type	Display.Size	Display.Resolution	Data.Bluetooth	Data.USB	Data.WLAN	Features.Chipset	Features.Colors	Features.OS	Features.CPU	Features.GPU
http://www.mobileshop.eu/laptop/apple/macbook-12-mlhe2-zp-a/index.html	apple macbook 12 mlhe2 zp-a gold		8 gb ram	256 gb	256 gb , 8 gb ram (expandable to 16 gb)	1143 €	non-removable li-ion 41.4 wh battery	28.05 x 19.65. x 1.31 cm	920 g	led-backlit ips retina display	12 inches	2304 x 1440 pixels	yes, v4.0	yes, 2 x v3.0	wi-fi 802.11 a/b/g/n	intel core m3	grey, gold	apple mac os x el capitan	dual-core 1.1 ghz (turbo boost up to 2.2ghz) with 4mb l3 cache	intel iris graphics 515
http://www.mobileshop.eu/laptop/apple/macbook-12-mlh72-zp-a/index.html	apple macbook 12 mlh72 zp-a gray		8 gb ram	256 gb	256 gb , 8 gb ram (expandable to 16 gb)	1183 €	non-removable li-ion 41.4 wh battery	28.05 x 19.65. x 1.31 cm	920 g	led-backlit ips retina display	12 inches	2304 x 1440 pixels	yes, v4.0	yes, 2 x v3.0	wi-fi 802.11 a/b/g/n	intel core m3	grey, gold	apple mac os x el capitan	dual-core 1.1 ghz (turbo boost up to 2.2ghz) with 4mb l3 cache	intel iris graphics 515
http://www.mobileshop.eu/laptop/apple/macbook-air-13-2017-mqd32-zp-a/index.html	apple macbook air 13 (2017) mqd32 zp-a silver	sdxc card slot	8 gb ram	128 gb	128 gb pcie-based flash storage ssd, 8 gb ram	969 €	non-removable li-ion 54 wh battery	32.5 x 22.7 x 1.7 cm	1350 g	led-backlit glossy	13.3 inches	1440 x 900 pixels	yes, v4.0	yes, 2 x v3.0, thunderbolt 2 port	wi-fi 802.11 a/b/g/n/ac	intel core i5	silver	apple mac os sierra	dual-core 1.8 ghz (turbo boost up to 2.9 ghz) with 3mb shared l3 cache	intel hd graphics 6000
http://www.mobileshop.eu/laptop/apple/apple-macbook-12-inch-mnyf2-zp-a/index.html	apple apple macbook 12 inch mnyf2 zp-a gray		8 gb ram	256 gb	256 gb (expandable to 512 gb or 1 tb) , 8 gb ram	1319 €	non-removable li-ion 41.4 wh battery	28.05 x 19.65. x 1.31 cm	920 g	led-backlit display with ips technology	12 inches	2304 x 1440 pixels	yes, v4.2	yes, 2 x (thunderbolt 3) v3.1 gen. 2 (usb-c)	wi-fi 802.11 a/b/g/n	intel core m3	grey	apple mac os sierra	dual-core 1.6 ghz (turbo boost up to 3.0 ghz) with 4mb l3 cache	intel iris graphics 615
http://www.mobileshop.eu/laptop/apple/macbook-12-mmgm2-zp-a/index.html	apple macbook 12 mmgm2 zp-a rose gold		8 gb ram	512 gb	512 gb , 8 gb ram (expandable to 16 gb)	1413 €	non-removable li-ion 41.4 wh battery	28.05 x 19.65. x 1.31 cm	920 g	led-backlit ips retina display	12 inches	2304 x 1440 pixels	yes, v4.0	yes, 2 x v3.0	wi-fi 802.11 a/b/g/n	intel core m5	grey, gold	apple mac os x el capitan	dual-core 1.2 ghz (turbo boost up to 2.7ghz) with 4mb l3 cache	intel iris graphics 515
http://www.mobileshop.eu/laptop/apple/macbook-12-mlha2-zp-a/index.html	apple macbook 12 mlha2 zp-a silver		8 gb ram	256 gb	256 gb , 8 gb ram (expandable to 16 gb)	1166 €	non-removable li-ion 41.4 wh battery	28.05 x 19.65. x 1.31 cm	920 g	led-backlit ips retina display	12 inches	2304 x 1440 pixels	yes, v4.0	yes, 2 x v3.0	wi-fi 802.11 a/b/g/n	intel core m3	grey, gold	apple mac os x el capitan	dual-core 1.1 ghz (turbo boost up to 2.2ghz) with 4mb l3 cache	intel iris graphics 515
http://www.mobileshop.eu/laptop/apple/macbook-12-mf855-zp-a/index.html	apple macbook 12 mf855 zp/a silver	no	8 gb ram	256 gb	256 gb , 8 gb ram (expandable to 16 gb)	1131 €	non-removable li-ion 39.7 wh battery	28 x 19. x 1.8 cm	920 g	led-backlit ips	12 inches	2304 x 1440 pixels	yes, v4.0	yes, 2 x v3.0	wi-fi 802.11 a/b/g/n	intel core m	silver	apple mac os x yosemite	dual-core 1.1 ghz	intel iris graphics 5300
http://www.mobileshop.eu/laptop/apple/macbook-pro-13-mll42-zp-a/index.html	apple macbook pro 13 mll42 zp-a gray		8 gb ram	256 gb	256 gb (expandable to 512 gb or 1 tb) , 8 gb ram (expandable to 16 gb)	1428 €	non-removable li-ion 54.4 wh battery	31.4 x 21.2 x 1.4 cm	1370 g	ips led-backlit	13.3 inches	2560 x 1600 pixels	yes, v4.2	yes, 2 x (thunderbolt 3) v3.1 gen. 2 (usb-c)	wi-fi 802.11 a/b/g/n	intel core i5 processor 4th gen	grey	apple mac os x mavericks	dual-core 2.0 ghz intel core i5 (turbo boost up to 3.1 ghz) with 4mb l3 cache	intel iris graphics 540
http://www.mobileshop.eu/laptop/apple/macbook-12-mlh82-zp-a/index.html	apple macbook 12 mlh82 zp-a gray		8 gb ram	512 gb	512 gb , 8 gb ram (expandable to 16 gb)	1540 €	non-removable li-ion 41.4 wh battery	28.05 x 19.65. x 1.31 cm	920 g	led-backlit ips retina display	12 inches	2304 x 1440 pixels	yes, v4.0	yes, 2 x v3.0	wi-fi 802.11 a/b/g/n	intel core m5	grey, gold	apple mac os x el capitan	dual-core 1.2 ghz (turbo boost up to 2.7ghz) with 4mb l3 cache	intel iris graphics 515
http://www.mobileshop.eu/laptop/apple/macbook-air-13-2017-mqd42-zp-a/index.html	apple macbook air 13 (2017) mqd42 zp-a silver	sdxc card slot	8 gb ram	256 gb	256 gb pcie-based flash storage ssd, 8 gb ram	1179 €	non-removable li-ion 54 wh battery	32.5 x 22.7 x 1.7 cm	1350 g	led-backlit glossy	13.3 inches	1440 x 900 pixels	yes, v4.0	yes, 2 x v3.0, thunderbolt 2 port	wi-fi 802.11 a/b/g/n/ac	intel core i5	silver	apple mac os sierra	dual-core 1.8 ghz (turbo boost up to 2.9 ghz) with 3mb shared l3 cache	intel hd graphics 6000
