{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=500, Decay=false, NormalizeAttributes=true}	19.11%	83.48%	80.89%	80.55%	136084.20ms
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.2, TrainingTime=700, Decay=false, NormalizeAttributes=true}	19.33%	83.23%	80.67%	80.61%	189449.40ms
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=700, Decay=false, NormalizeAttributes=true}	19.44%	83.34%	80.56%	80.15%	189649.20ms
{HiddenLayers=a,t, LearningRate=0.2, Momentum=0.2, TrainingTime=600, Decay=false, NormalizeAttributes=true}	19.48%	82.95%	80.52%	80.29%	162657.70ms
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=400, Decay=false, NormalizeAttributes=true}	19.63%	82.12%	80.37%	79.77%	107844.10ms
{HiddenLayers=a,t, LearningRate=0.2, Momentum=0.1, TrainingTime=700, Decay=false, NormalizeAttributes=true}	19.78%	83.64%	80.22%	80.07%	189421.90ms
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.2, TrainingTime=600, Decay=false, NormalizeAttributes=true}	19.81%	82.74%	80.19%	80.08%	162923.20ms
{HiddenLayers=a,t, LearningRate=0.2, Momentum=0.1, TrainingTime=500, Decay=false, NormalizeAttributes=true}	19.89%	82.77%	80.11%	79.77%	135761.00ms
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=600, Decay=false, NormalizeAttributes=true}	19.98%	83.74%	80.02%	80.22%	162710.00ms
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.1, TrainingTime=400, Decay=false, NormalizeAttributes=true}	20.06%	81.80%	79.94%	78.98%	108476.10ms
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.1, TrainingTime=500, Decay=false, NormalizeAttributes=true}	20.13%	82.76%	79.87%	79.50%	135666.00ms
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.1, TrainingTime=600, Decay=false, NormalizeAttributes=true}	20.13%	82.67%	79.87%	79.49%	162009.80ms
{HiddenLayers=a,t, LearningRate=0.2, Momentum=0.2, TrainingTime=700, Decay=false, NormalizeAttributes=true}	20.26%	82.18%	79.74%	79.50%	189476.80ms
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=400, Decay=false, NormalizeAttributes=true}	20.37%	81.12%	79.63%	78.66%	108732.40ms
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.5, TrainingTime=700, Decay=false, NormalizeAttributes=true}	20.41%	82.55%	79.59%	79.45%	189092.30ms
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=300, Decay=false, NormalizeAttributes=true}	20.41%	82.42%	79.59%	79.27%	81417.70ms
{HiddenLayers=a,t, LearningRate=0.2, Momentum=0.1, TrainingTime=600, Decay=false, NormalizeAttributes=true}	20.46%	82.80%	79.54%	79.39%	162184.40ms
{HiddenLayers=a,t, LearningRate=0.2, Momentum=0.5, TrainingTime=700, Decay=false, NormalizeAttributes=true}	20.46%	82.52%	79.54%	79.50%	189750.40ms
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.1, TrainingTime=700, Decay=false, NormalizeAttributes=true}	20.46%	82.42%	79.54%	79.21%	189632.70ms
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.1, TrainingTime=600, Decay=false, NormalizeAttributes=true}	20.54%	82.66%	79.46%	79.48%	162690.50ms
{HiddenLayers=a,t, LearningRate=0.4, Momentum=0.2, TrainingTime=700, Decay=false, NormalizeAttributes=true}	20.56%	82.72%	79.44%	79.32%	190348.90ms
{HiddenLayers=a,t, LearningRate=0.2, Momentum=0.1, TrainingTime=300, Decay=false, NormalizeAttributes=true}	20.63%	81.15%	79.37%	78.40%	81702.80ms
{HiddenLayers=a,t, LearningRate=0.4, Momentum=0.2, TrainingTime=500, Decay=false, NormalizeAttributes=true}	20.71%	82.70%	79.29%	79.05%	135725.00ms
{HiddenLayers=a,t, LearningRate=0.4, Momentum=0.4, TrainingTime=700, Decay=false, NormalizeAttributes=true}	20.72%	82.35%	79.28%	79.30%	190703.90ms
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.5, TrainingTime=700, Decay=false, NormalizeAttributes=true}	20.74%	82.90%	79.26%	79.33%	190512.30ms
{HiddenLayers=a,t, LearningRate=0.4, Momentum=0.5, TrainingTime=700, Decay=false, NormalizeAttributes=true}	20.82%	82.34%	79.18%	78.87%	189409.20ms
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=500, Decay=false, NormalizeAttributes=true}	20.89%	82.05%	79.11%	79.01%	136405.30ms
{HiddenLayers=a,t, LearningRate=0.4, Momentum=0.1, TrainingTime=500, Decay=false, NormalizeAttributes=true}	20.91%	81.82%	79.09%	78.83%	135407.00ms
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.2, TrainingTime=700, Decay=false, NormalizeAttributes=true}	20.93%	82.87%	79.07%	79.22%	189410.50ms
{HiddenLayers=a,t, LearningRate=0.2, Momentum=0.1, TrainingTime=400, Decay=false, NormalizeAttributes=true}	20.93%	82.23%	79.07%	78.60%	109123.20ms
{HiddenLayers=a,t, LearningRate=0.2, Momentum=0.5, TrainingTime=500, Decay=false, NormalizeAttributes=true}	20.97%	81.54%	79.03%	78.44%	135839.80ms
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.4, TrainingTime=700, Decay=false, NormalizeAttributes=true}	20.99%	83.74%	79.01%	79.29%	190158.10ms
{HiddenLayers=a,t, LearningRate=0.2, Momentum=0.5, TrainingTime=600, Decay=false, NormalizeAttributes=true}	21.04%	82.42%	78.96%	79.05%	163355.80ms
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.30000000000000004, TrainingTime=300, Decay=false, NormalizeAttributes=true}	21.08%	80.69%	78.92%	77.77%	81138.20ms
{HiddenLayers=a,t, LearningRate=0.4, Momentum=0.2, TrainingTime=600, Decay=false, NormalizeAttributes=true}	21.10%	82.23%	78.90%	78.65%	162937.20ms
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.4, TrainingTime=400, Decay=false, NormalizeAttributes=true}	21.17%	82.45%	78.83%	78.61%	108153.30ms
{HiddenLayers=a,t, LearningRate=0.1, Momentum=0.5, TrainingTime=400, Decay=false, NormalizeAttributes=true}	21.21%	82.00%	78.79%	78.54%	107975.40ms
{HiddenLayers=a,t, LearningRate=0.30000000000000004, Momentum=0.2, TrainingTime=400, Decay=false, NormalizeAttributes=true}	21.25%	81.89%	78.75%	78.15%	108466.00ms
