@RELATION phones

@ATTRIBUTE value STRING
@ATTRIBUTE class {BLUETOOTH_VERSION,PRICE,CAMERA_FRONT,OS,SCREEN_TYPE,CPU,WIRELESS_CONNECTIVITY,CAMERA_BACK,PRODUCT_SIZE,BATTERY_CAPACITY,NETWORK_3G,GPU,NETWORK_4G,NETWORK_2G,SIM_CARD_TYPE,SCREEN_SIZE,ROM,EXTERNAL_MEMORY,SCREEN_RESOLUTION,CPU_CORES,TITLE,WEIGHT,WIFI,RAM}

@data
"nokia 3310 (2017) dual sim dark blue",TITLE
"3.0, a2dp",BLUETOOTH_VERSION
"no",WIFI
"microsd, up to 32 gb (dedicated slot)",EXTERNAL_MEMORY
"16 mb",RAM
"94 €",PRICE
"gsm 900 / 1800 sim 1 & sim 2",NETWORK_2G
"gsm",WIRELESS_CONNECTIVITY
"removable li-ion 1200 mah battery",BATTERY_CAPACITY
"2 mp, led flash",CAMERA_BACK
"dual sim (mini-sim, dual stand-by)",SIM_CARD_TYPE
"115.6 x 51 x 12.8 mm (4.55 x 2.01 x 0.50 in)",PRODUCT_SIZE
"109 g",WEIGHT
"tft",SCREEN_TYPE
"2.4 inches (~30.3% screen-to-body ratio)",SCREEN_SIZE
"240 x 320 pixels (~167 ppi pixel density)",SCREEN_RESOLUTION
"nokia xl dual sim blue",TITLE
"yes, v3.0 with a2dp, hs",BLUETOOTH_VERSION
"wi-fi 802.11 b/g/n, wi-fi hotspot",WIFI
"microsd, up to 32 gb",EXTERNAL_MEMORY
"4 gb",ROM
"768 mb ram",RAM
"133 €",PRICE
"gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2",NETWORK_2G
"hsdpa 900 / 2100 sim 1",NETWORK_3G
"li-ion 2000 mah battery (bn-02)",BATTERY_CAPACITY
"5 mp, 2592 х 1944 pixels, autofocus, led flash",CAMERA_BACK
"yes, 2 mp",CAMERA_FRONT
"dual sim (micro-sim, dual stand-by)",SIM_CARD_TYPE
"141.4 x 77.7 x 10.9 mm",PRODUCT_SIZE
"190 g",WEIGHT
"ips lcd capacitive touchscreen, 16m colors",SCREEN_TYPE
"480 x 800 pixels, 5.0 inches (~187 ppi pixel density)",SCREEN_SIZE
"adreno 203",GPU
"qualcomm msm8225 snapdragon s4 play",CPU
"android os, v4.1.2 (jelly bean)",OS
"dual-core 1 ghz cortex-a5",CPU_CORES
"nokia xl dual sim black",TITLE
"nokia xl dual sim orange",TITLE
"nokia 3310 (2017) dual sim gray",TITLE
"nokia 3 dual sim 16gb black",TITLE
"4.0, a2dp, le",BLUETOOTH_VERSION
"wi-fi 802.11 b/g/n, dual-band, wifi direct, hotspot",WIFI
"microsd, up to 256 gb (dedicated slot)",EXTERNAL_MEMORY
"16 gb",ROM
"2 gb ram",RAM
"163 €",PRICE
"hsdpa 850 / 900 / 1900 / 2100",NETWORK_3G
"lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300)",NETWORK_4G
"gsm / hspa / lte",WIRELESS_CONNECTIVITY
"non-removable li-ion 2630 mah battery",BATTERY_CAPACITY
"8 mp, f/2.0, autofocus, led flash",CAMERA_BACK
"8 mp, f/2.0, autofocus, 720p",CAMERA_FRONT
"dual sim (nano-sim, dual stand-by)",SIM_CARD_TYPE
"143.4 x 71.4 x 8.5 mm (5.65 x 2.81 x 0.33 in)",PRODUCT_SIZE
"140 g (4.94 oz)",WEIGHT
"5.0 inches (~67.3% screen-to-body ratio)",SCREEN_SIZE
"720 x 1280 pixels (~294 ppi pixel density)",SCREEN_RESOLUTION
"mali-t720mp1",GPU
"mediatek mt6737",CPU
"android 7.0 (nougat)",OS
"quad-core 1.4 ghz cortex-a53",CPU_CORES
"nokia xl dual sim yellow",TITLE
"htc desire vt t328t black",TITLE
"yes, v4.0 with a2dp",BLUETOOTH_VERSION
"wi-fi 802.11 b/g/n, wi-fi hotspot, dlna",WIFI
"4 gb storage",ROM
"512 mb ram",RAM
"gsm 900 / 1800 / 1900",NETWORK_2G
"hsdpa 1900 / 2100 / td-scdma",NETWORK_3G
"li-ion 1650 mah battery",BATTERY_CAPACITY
"mini-sim",SIM_CARD_TYPE
"119.5 x 62.2 x 9.6 mm",PRODUCT_SIZE
"118 g",WEIGHT
"capacitive touchscreen, 16m colors",SCREEN_TYPE
"480 x 800 pixels, 4.0 inches (~233 ppi pixel density)",SCREEN_SIZE
"adreno 200",GPU
"qualcomm msm7227a snapdragon",CPU
"android os, v4.0 (ice cream sandwich)",OS
"1 ghz cortex-a5",CPU_CORES
"htc desire vt t328t red",TITLE
"177 €",PRICE
"htc desire 630 dual sim d630n dark gray",TITLE
"v4.1, a2dp",BLUETOOTH_VERSION
"wi-fi 802.11 b/g/n, hotspot",WIFI
"170 €",PRICE
"lte band 1(2100), 3(1800), 5(850), 8(900), 40(2300)",NETWORK_4G
"gsm / cdma / hspa / lte",WIRELESS_CONNECTIVITY
"removable li-ion 2200 mah battery",BATTERY_CAPACITY
"13 mp, f/2.4, autofocus, led flash",CAMERA_BACK
"5 mp, f/2.8",CAMERA_FRONT
"146.9 x 70.9 x 8.3 mm (5.78 x 2.79 x 0.33 in)",PRODUCT_SIZE
"super lcd capacitive touchscreen, 16m colors",SCREEN_TYPE
"5.0 inches (~66.2% screen-to-body ratio)",SCREEN_SIZE
"adreno 305",GPU
"qualcomm snapdragon 400",CPU
"android os, v6.0 (marshmallow)",OS
"quad-core 1.6 ghz cortex-a7",CPU_CORES
"apple iphone 7 128gb gold",TITLE
"v4.2, a2dp, le",BLUETOOTH_VERSION
"wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot",WIFI
"128 gb",ROM
"753 €",PRICE
"gsm 850 / 900 / 1800 / 1900",NETWORK_2G
"hsdpa 850 / 900 / 1700(aws) / 1900 / 2100",NETWORK_3G
"lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)",NETWORK_4G
"gsm / cdma / hspa / evdo / lte",WIRELESS_CONNECTIVITY
"non-removable li-ion 1960 mah battery (7.45 wh)",BATTERY_CAPACITY
"12 mp, f/1.8, 28mm, phase detection autofocus, ois, quad-led (dual tone) flash",CAMERA_BACK
"7 mp, f/2.2, 32mm, 1080p@30fps, 720p@240fps, face detection, hdr, panorama",CAMERA_FRONT
"nano-sim",SIM_CARD_TYPE
"138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)",PRODUCT_SIZE
"138 g (4.87 oz)",WEIGHT
"led-backlit ips lcd, capacitive touchscreen, 16m colors",SCREEN_TYPE
"4.7 inches (~65.6% screen-to-body ratio)",SCREEN_SIZE
"750 x 1334 pixels (~326 ppi pixel density)",SCREEN_RESOLUTION
"(six-core graphics)",GPU
"apple a10 fusion",CPU
"ios 10.0.1",OS
"quad-core",CPU_CORES
"apple iphone se 128gb rose gold",TITLE
"wi-fi 802.11 a/b/g/n/ac, hotspot",WIFI
"496 €",PRICE
"hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100",NETWORK_3G
"lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 29(700)",NETWORK_4G
"non-removable li-po 1642 mah battery",BATTERY_CAPACITY
"12 mp, f/2.2, 29mm, phase detection autofocus, dual-led (dual tone) flash",CAMERA_BACK
"1.2 mp, f/2.4, 31mm, 720p@30fps, face detection, hdr, facetime over wi-fi or cellular",CAMERA_FRONT
"123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in)",PRODUCT_SIZE
"113 g (3.99 oz)",WEIGHT
"4.0 inches (~60.8% screen-to-body ratio)",SCREEN_SIZE
"640 x 1136 pixels (~326 ppi pixel density)",SCREEN_RESOLUTION
"powervr gt7600 (six-core graphics)",GPU
"apple a9",CPU
"ios 9.3",OS
"dual-core 1.84 ghz twister",CPU_CORES
"apple iphone 7 256gb rose gold",TITLE
"256 gb",ROM
"818 €",PRICE
"apple iphone se 32gb rose gold",TITLE
"32 gb",ROM
"382 €",PRICE
"apple iphone se 128gb gray",TITLE
"apple iphone 6s 32gb silver",TITLE
"610 €",PRICE
"lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)",NETWORK_4G
"non-removable li-po 1715 mah battery (6.9 wh)",BATTERY_CAPACITY
"12 mp, 4608 x 2592 pixels, phase detection autofocus, dual-led (dual tone) flash",CAMERA_BACK
"5 mp, 1080p@30fps, 720p@240fps, face detection, hdr, panorama",CAMERA_FRONT
"143 g (5.04 oz)",WEIGHT
"ios 9, upgradable to ios 9.0.1",OS
"dual-core 1.8 ghz",CPU_CORES
"apple iphone 7 128gb rose gold",TITLE
"apple iphone 7 256gb black",TITLE
"apple iphone 7 32gb black",TITLE
"658 €",PRICE
"apple iphone 7 128gb red",TITLE
"764 €",PRICE
"apple iphone se 128gb gold",TITLE
"apple iphone se 32gb gold",TITLE
"apple iphone 6s 32gb gold",TITLE
"apple iphone 5s 16gb white",TITLE
"wi-fi 802.11 a/b/g/n, dual-band, wi-fi hotspot",WIFI
"64 gb storage",ROM
"1 gb ram ddr3",RAM
"312 €",PRICE
"lte band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800)",NETWORK_4G
"non-removable li-po 1560 mah battery (5.92 wh)",BATTERY_CAPACITY
"8 mp, 3264 x 2448 pixels, autofocus, dual-led (dual tone) flash",CAMERA_BACK
"yes, 1.2 mp, 720p@30fps, face detection, facetime over wi-fi or cellular",CAMERA_FRONT
"112 g (3.95 oz)",WEIGHT
"640 x 1136 pixels, 4.0 inches (~326 ppi pixel density)",SCREEN_SIZE
"powervr g6430 (quad-core graphics)",GPU
"apple a7",CPU
"ios 7, upgradable to ios 7.1.1",OS
"dual-core 1.3 ghz cyclone (arm v8-based)",CPU_CORES
"apple iphone 5s 16gb gray",TITLE
"301 €",PRICE
"gsm 850 / 900 / 1800 / 1900 all models",NETWORK_2G
"apple iphone 7 128gb black",TITLE
"apple iphone 7 128gb silver",TITLE
"768 €",PRICE
"apple iphone se 32gb silver",TITLE
"apple ipod shuffle 4th generation 2gb silver",TITLE
"2 gb storage",ROM
"88 €",PRICE
"non-removable li-ion battery",BATTERY_CAPACITY
"29 x 31.6 x 8.7 mm",PRODUCT_SIZE
"12 g",WEIGHT
"apple ipod touch 6th generation 32gb blue",TITLE
"yes, v4.1 with a2dp, edr",BLUETOOTH_VERSION
"wi-fi 802.11 a/b/g/n/ac, dual-band",WIFI
"32 gb storage",ROM
"1 gb ram",RAM
"288 €",PRICE
"non-removable li-po battery (16.3 wh)",BATTERY_CAPACITY
"8 mp, 3264 x 2448 pixels, autofocus, led flash, 1/3.2'' sensor size, 1.4 µm pixel size, geo-tagging, touch focus, face detection, panorama, hdr photo",CAMERA_BACK
"yes, 1.2 mp, 720p@30fps, face detection, facetime over wi-fi",CAMERA_FRONT
"123 x 58.6 x 6.1 mm",PRODUCT_SIZE
"88 g",WEIGHT
"1136 x 640 pixels, 4.0 inches (~326 ppi pixel density)",SCREEN_SIZE
"apple a8",CPU
"ios 8.4, upgradable to ios 9",OS
"dual-core 1.1 ghz",CPU_CORES
"apple iphone se 128gb silver",TITLE
"apple ipod touch 6th generation 32gb silver",TITLE
"blu z3 music dual sim z150 black white",TITLE
