{ComplexityConstant=0.7, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	3.71%	4.52%	3.83%	3800.00ms
{ComplexityConstant=0.7, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	0.00%	0.58%	0.01%	4918.00ms
{ComplexityConstant=0.7, Kernel=Puk kernel, BuildCalibrationModel=false}	0.03%	0.58%	0.05%	8818.00ms
{ComplexityConstant=0.7999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	3.71%	4.52%	3.83%	2004.00ms
{ComplexityConstant=0.7, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	11.14%	5.26%	4.09%	12772.00ms
{ComplexityConstant=0.7, Kernel=Puk kernel, BuildCalibrationModel=true}	3.34%	2.38%	1.90%	14918.00ms
{ComplexityConstant=0.7999999999999999, Kernel=Puk kernel, BuildCalibrationModel=false}	0.03%	0.58%	0.05%	5677.00ms
{ComplexityConstant=0.7, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	3.63%	5.18%	3.55%	9912.00ms
{ComplexityConstant=0.7999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	14.12%	5.26%	4.11%	9785.00ms
{ComplexityConstant=0.8999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	3.73%	4.85%	3.85%	1181.00ms
{ComplexityConstant=0.7999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	0.00%	0.58%	0.01%	4215.00ms
{ComplexityConstant=0.7999999999999999, Kernel=Puk kernel, BuildCalibrationModel=true}	3.33%	2.38%	1.89%	9933.00ms
{ComplexityConstant=0.7999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	3.61%	5.09%	3.51%	9650.00ms
{ComplexityConstant=0.8999999999999999, Kernel=Puk kernel, BuildCalibrationModel=false}	0.27%	1.15%	0.41%	6263.00ms
{ComplexityConstant=0.8999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	13.18%	8.13%	5.45%	9146.00ms
{ComplexityConstant=0.8999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	0.00%	0.58%	0.01%	3538.00ms
{ComplexityConstant=0.9999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	3.71%	4.85%	3.84%	1186.00ms
{ComplexityConstant=0.8999999999999999, Kernel=Puk kernel, BuildCalibrationModel=true}	3.31%	2.30%	1.85%	10523.00ms
{ComplexityConstant=0.8999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	3.58%	5.09%	3.48%	8659.00ms
{ComplexityConstant=0.9999999999999999, Kernel=Puk kernel, BuildCalibrationModel=false}	3.22%	1.97%	1.70%	5766.00ms
{ComplexityConstant=0.9999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	16.06%	8.13%	5.46%	9326.00ms
{ComplexityConstant=0.9999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	0.00%	0.58%	0.01%	3513.00ms
{ComplexityConstant=1.0999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	3.71%	4.85%	3.84%	1482.00ms
{ComplexityConstant=0.9999999999999999, Kernel=Puk kernel, BuildCalibrationModel=true}	3.29%	2.30%	1.83%	9604.00ms
{ComplexityConstant=0.9999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	3.71%	5.18%	3.64%	8423.00ms
{ComplexityConstant=1.0999999999999999, Kernel=Puk kernel, BuildCalibrationModel=false}	3.22%	1.97%	1.70%	5196.00ms
{ComplexityConstant=1.0999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	0.00%	0.58%	0.01%	3311.00ms
{ComplexityConstant=1.0999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	15.93%	8.13%	5.54%	9060.00ms
{ComplexityConstant=1.2, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	3.68%	4.85%	3.81%	1370.00ms
{ComplexityConstant=1.0999999999999999, Kernel=Puk kernel, BuildCalibrationModel=true}	3.31%	2.30%	1.85%	9585.00ms
{ComplexityConstant=1.0999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	3.71%	5.18%	3.64%	7941.00ms
{ComplexityConstant=1.2, Kernel=Puk kernel, BuildCalibrationModel=false}	3.22%	1.97%	1.70%	5284.00ms
{ComplexityConstant=1.2, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	19.29%	9.53%	7.57%	8735.00ms
{ComplexityConstant=1.2, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	0.00%	0.58%	0.01%	3971.00ms
{ComplexityConstant=1.3, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	3.68%	4.85%	3.81%	1381.00ms
{ComplexityConstant=1.2, Kernel=Puk kernel, BuildCalibrationModel=true}	3.29%	2.30%	1.83%	10882.00ms
{ComplexityConstant=1.2, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	3.65%	5.18%	3.57%	9695.00ms
{ComplexityConstant=1.3, Kernel=Puk kernel, BuildCalibrationModel=false}	3.22%	1.97%	1.70%	6747.00ms
{ComplexityConstant=1.3, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	0.00%	0.58%	0.01%	3902.00ms
{ComplexityConstant=1.3, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	15.73%	8.13%	5.54%	9974.00ms
{ComplexityConstant=1.4000000000000001, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	3.68%	4.85%	3.81%	1489.00ms
{ComplexityConstant=1.3, Kernel=Puk kernel, BuildCalibrationModel=true}	3.29%	2.30%	1.83%	10293.00ms
{ComplexityConstant=1.3, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	3.81%	5.75%	3.83%	8596.00ms
