{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	10.58%	89.11%	89.42%	89.16%	3636.00ms
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	10.67%	89.17%	89.33%	89.14%	4406.90ms
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	10.78%	89.07%	89.22%	89.04%	4472.40ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	10.86%	88.81%	89.14%	88.88%	3592.00ms
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	10.89%	88.86%	89.11%	88.86%	4458.50ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	10.91%	88.91%	89.09%	88.90%	4376.40ms
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	10.93%	88.83%	89.07%	88.84%	4521.70ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	10.95%	88.74%	89.05%	88.83%	5117.60ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	10.95%	88.74%	89.05%	88.83%	5148.70ms
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	10.95%	88.74%	89.05%	88.83%	5186.40ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	10.95%	88.74%	89.05%	88.83%	5208.90ms
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	10.95%	88.74%	89.05%	88.83%	5284.70ms
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	10.95%	88.74%	89.05%	88.83%	5291.00ms
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	10.95%	88.74%	89.05%	88.83%	5391.70ms
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	10.95%	88.74%	89.05%	88.83%	5638.50ms
{ConfidenceFactor=0.3, MinNumObjPerLeaf=1, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	10.95%	88.81%	89.05%	88.81%	4604.30ms
{ConfidenceFactor=0.4, MinNumObjPerLeaf=1, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	10.99%	88.80%	89.01%	88.79%	4478.30ms
{ConfidenceFactor=0.3, MinNumObjPerLeaf=1, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	11.12%	88.59%	88.88%	88.68%	4465.40ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	11.12%	88.59%	88.88%	88.68%	4605.00ms
{ConfidenceFactor=0.4, MinNumObjPerLeaf=1, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	11.12%	88.59%	88.88%	88.68%	4619.10ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	11.12%	88.59%	88.88%	88.68%	4630.70ms
