{MaxDepth=15, NumFeatures=3, NumBaggingIterations=120, BreakTiesRandomly=true}	9.28%	90.13%	90.72%	90.29%	8138.70ms
{MaxDepth=15, NumFeatures=4, NumBaggingIterations=120, BreakTiesRandomly=true}	9.31%	90.16%	90.69%	90.31%	9430.20ms
{MaxDepth=15, NumFeatures=0, NumBaggingIterations=120, BreakTiesRandomly=true}	9.31%	90.16%	90.69%	90.31%	9489.90ms
{MaxDepth=14, NumFeatures=1, NumBaggingIterations=80, BreakTiesRandomly=false}	9.33%	90.07%	90.67%	90.23%	3997.40ms
{MaxDepth=14, NumFeatures=1, NumBaggingIterations=80, BreakTiesRandomly=true}	9.33%	90.07%	90.67%	90.23%	4024.60ms
{MaxDepth=15, NumFeatures=4, NumBaggingIterations=120, BreakTiesRandomly=false}	9.35%	90.15%	90.65%	90.28%	9475.30ms
{MaxDepth=15, NumFeatures=0, NumBaggingIterations=120, BreakTiesRandomly=false}	9.35%	90.15%	90.65%	90.28%	9526.30ms
{MaxDepth=0, NumFeatures=4, NumBaggingIterations=120, BreakTiesRandomly=false}	9.35%	90.13%	90.65%	90.26%	10086.10ms
{MaxDepth=0, NumFeatures=0, NumBaggingIterations=120, BreakTiesRandomly=false}	9.35%	90.13%	90.65%	90.26%	10684.30ms
{MaxDepth=0, NumFeatures=3, NumBaggingIterations=110, BreakTiesRandomly=true}	9.35%	90.08%	90.65%	90.23%	7802.40ms
{MaxDepth=14, NumFeatures=0, NumBaggingIterations=120, BreakTiesRandomly=true}	9.37%	90.11%	90.63%	90.24%	9396.00ms
{MaxDepth=14, NumFeatures=4, NumBaggingIterations=120, BreakTiesRandomly=true}	9.37%	90.11%	90.63%	90.24%	9408.50ms
{MaxDepth=0, NumFeatures=2, NumBaggingIterations=110, BreakTiesRandomly=true}	9.37%	90.10%	90.63%	90.23%	7146.10ms
{MaxDepth=0, NumFeatures=3, NumBaggingIterations=100, BreakTiesRandomly=true}	9.37%	90.09%	90.63%	90.23%	7225.80ms
{MaxDepth=0, NumFeatures=4, NumBaggingIterations=100, BreakTiesRandomly=false}	9.37%	90.09%	90.63%	90.23%	8103.60ms
{MaxDepth=0, NumFeatures=0, NumBaggingIterations=100, BreakTiesRandomly=false}	9.37%	90.09%	90.63%	90.23%	8782.20ms
{MaxDepth=0, NumFeatures=3, NumBaggingIterations=120, BreakTiesRandomly=true}	9.37%	90.08%	90.63%	90.22%	8479.10ms
{MaxDepth=15, NumFeatures=3, NumBaggingIterations=100, BreakTiesRandomly=true}	9.37%	90.04%	90.63%	90.20%	6727.30ms
{MaxDepth=15, NumFeatures=3, NumBaggingIterations=110, BreakTiesRandomly=true}	9.37%	90.01%	90.63%	90.19%	7477.40ms
{MaxDepth=0, NumFeatures=2, NumBaggingIterations=120, BreakTiesRandomly=true}	9.39%	90.09%	90.61%	90.22%	7890.20ms
{MaxDepth=15, NumFeatures=4, NumBaggingIterations=110, BreakTiesRandomly=true}	9.39%	90.05%	90.61%	90.22%	8639.30ms
{MaxDepth=15, NumFeatures=0, NumBaggingIterations=110, BreakTiesRandomly=true}	9.39%	90.05%	90.61%	90.22%	8641.50ms
{MaxDepth=0, NumFeatures=4, NumBaggingIterations=110, BreakTiesRandomly=false}	9.39%	90.07%	90.61%	90.21%	9196.00ms
{MaxDepth=0, NumFeatures=0, NumBaggingIterations=110, BreakTiesRandomly=false}	9.39%	90.07%	90.61%	90.21%	9788.20ms
{MaxDepth=13, NumFeatures=3, NumBaggingIterations=80, BreakTiesRandomly=false}	9.39%	90.00%	90.61%	90.17%	5281.50ms
{MaxDepth=15, NumFeatures=4, NumBaggingIterations=100, BreakTiesRandomly=false}	9.41%	90.08%	90.59%	90.21%	7832.20ms
{MaxDepth=15, NumFeatures=0, NumBaggingIterations=100, BreakTiesRandomly=false}	9.41%	90.08%	90.59%	90.21%	7885.70ms
{MaxDepth=0, NumFeatures=5, NumBaggingIterations=110, BreakTiesRandomly=false}	9.41%	90.08%	90.59%	90.20%	11691.10ms
{MaxDepth=14, NumFeatures=0, NumBaggingIterations=100, BreakTiesRandomly=true}	9.41%	90.05%	90.59%	90.19%	7791.70ms
{MaxDepth=14, NumFeatures=4, NumBaggingIterations=100, BreakTiesRandomly=true}	9.41%	90.05%	90.59%	90.19%	7815.20ms
{MaxDepth=15, NumFeatures=2, NumBaggingIterations=100, BreakTiesRandomly=true}	9.41%	90.03%	90.59%	90.19%	5815.20ms
{MaxDepth=15, NumFeatures=2, NumBaggingIterations=120, BreakTiesRandomly=true}	9.41%	90.00%	90.59%	90.17%	6999.80ms
{MaxDepth=0, NumFeatures=1, NumBaggingIterations=110, BreakTiesRandomly=true}	9.41%	89.98%	90.59%	90.16%	6364.60ms
{MaxDepth=0, NumFeatures=1, NumBaggingIterations=110, BreakTiesRandomly=false}	9.41%	89.98%	90.59%	90.16%	6429.70ms
{MaxDepth=14, NumFeatures=2, NumBaggingIterations=100, BreakTiesRandomly=false}	9.41%	90.00%	90.59%	90.14%	5783.30ms
{MaxDepth=0, NumFeatures=4, NumBaggingIterations=90, BreakTiesRandomly=false}	9.42%	90.05%	90.58%	90.21%	7369.60ms
{MaxDepth=0, NumFeatures=0, NumBaggingIterations=90, BreakTiesRandomly=false}	9.42%	90.05%	90.58%	90.21%	8535.30ms
{MaxDepth=0, NumFeatures=2, NumBaggingIterations=100, BreakTiesRandomly=true}	9.42%	90.07%	90.58%	90.19%	6445.30ms
{MaxDepth=15, NumFeatures=4, NumBaggingIterations=100, BreakTiesRandomly=true}	9.42%	90.03%	90.58%	90.18%	7841.70ms
{MaxDepth=15, NumFeatures=0, NumBaggingIterations=100, BreakTiesRandomly=true}	9.42%	90.03%	90.58%	90.18%	7874.90ms
{MaxDepth=14, NumFeatures=0, NumBaggingIterations=110, BreakTiesRandomly=true}	9.42%	90.03%	90.58%	90.17%	8595.70ms
{MaxDepth=14, NumFeatures=4, NumBaggingIterations=110, BreakTiesRandomly=true}	9.42%	90.03%	90.58%	90.17%	8603.30ms
{MaxDepth=0, NumFeatures=2, NumBaggingIterations=120, BreakTiesRandomly=false}	9.42%	90.02%	90.58%	90.16%	7756.70ms
{MaxDepth=14, NumFeatures=2, NumBaggingIterations=80, BreakTiesRandomly=false}	9.42%	89.96%	90.58%	90.12%	4577.70ms
{MaxDepth=14, NumFeatures=1, NumBaggingIterations=90, BreakTiesRandomly=false}	9.42%	89.94%	90.58%	90.11%	4527.60ms
{MaxDepth=14, NumFeatures=1, NumBaggingIterations=90, BreakTiesRandomly=true}	9.42%	89.94%	90.58%	90.11%	4535.20ms
{MaxDepth=0, NumFeatures=5, NumBaggingIterations=90, BreakTiesRandomly=true}	9.44%	90.06%	90.56%	90.20%	8783.40ms
{MaxDepth=0, NumFeatures=5, NumBaggingIterations=80, BreakTiesRandomly=true}	9.44%	90.04%	90.56%	90.20%	7739.20ms
{MaxDepth=14, NumFeatures=0, NumBaggingIterations=90, BreakTiesRandomly=false}	9.44%	90.03%	90.56%	90.19%	6961.60ms
{MaxDepth=14, NumFeatures=4, NumBaggingIterations=90, BreakTiesRandomly=false}	9.44%	90.03%	90.56%	90.19%	7081.80ms
{MaxDepth=15, NumFeatures=4, NumBaggingIterations=110, BreakTiesRandomly=false}	9.44%	90.04%	90.56%	90.18%	8699.30ms
{MaxDepth=15, NumFeatures=0, NumBaggingIterations=110, BreakTiesRandomly=false}	9.44%	90.04%	90.56%	90.18%	8727.60ms
{MaxDepth=13, NumFeatures=4, NumBaggingIterations=120, BreakTiesRandomly=true}	9.44%	90.00%	90.56%	90.16%	9165.70ms
{MaxDepth=13, NumFeatures=0, NumBaggingIterations=120, BreakTiesRandomly=true}	9.44%	90.00%	90.56%	90.16%	9184.50ms
{MaxDepth=15, NumFeatures=3, NumBaggingIterations=120, BreakTiesRandomly=false}	9.44%	90.00%	90.56%	90.15%	8162.50ms
{MaxDepth=15, NumFeatures=3, NumBaggingIterations=110, BreakTiesRandomly=false}	9.44%	89.99%	90.56%	90.15%	7460.10ms
{MaxDepth=0, NumFeatures=2, NumBaggingIterations=110, BreakTiesRandomly=false}	9.44%	90.01%	90.56%	90.14%	7160.00ms
{MaxDepth=15, NumFeatures=2, NumBaggingIterations=110, BreakTiesRandomly=true}	9.44%	89.94%	90.56%	90.12%	6386.80ms
{MaxDepth=13, NumFeatures=3, NumBaggingIterations=120, BreakTiesRandomly=true}	9.44%	89.94%	90.56%	90.12%	7839.60ms
{MaxDepth=14, NumFeatures=2, NumBaggingIterations=80, BreakTiesRandomly=true}	9.44%	89.95%	90.56%	90.11%	4609.20ms
{MaxDepth=14, NumFeatures=2, NumBaggingIterations=110, BreakTiesRandomly=false}	9.44%	89.90%	90.56%	90.09%	6337.90ms
{MaxDepth=14, NumFeatures=5, NumBaggingIterations=110, BreakTiesRandomly=false}	9.46%	90.07%	90.54%	90.19%	9849.50ms
{MaxDepth=15, NumFeatures=5, NumBaggingIterations=100, BreakTiesRandomly=false}	9.46%	90.10%	90.54%	90.18%	9015.50ms
{MaxDepth=15, NumFeatures=6, NumBaggingIterations=100, BreakTiesRandomly=true}	9.46%	90.08%	90.54%	90.18%	10131.10ms
{MaxDepth=15, NumFeatures=5, NumBaggingIterations=110, BreakTiesRandomly=false}	9.46%	90.07%	90.54%	90.17%	9975.80ms
{MaxDepth=0, NumFeatures=2, NumBaggingIterations=80, BreakTiesRandomly=true}	9.46%	90.06%	90.54%	90.17%	5329.00ms
{MaxDepth=13, NumFeatures=0, NumBaggingIterations=80, BreakTiesRandomly=true}	9.46%	90.04%	90.54%	90.17%	6105.40ms
{MaxDepth=13, NumFeatures=4, NumBaggingIterations=80, BreakTiesRandomly=true}	9.46%	90.04%	90.54%	90.17%	6105.50ms
{MaxDepth=15, NumFeatures=4, NumBaggingIterations=90, BreakTiesRandomly=false}	9.46%	90.01%	90.54%	90.17%	7037.70ms
{MaxDepth=15, NumFeatures=0, NumBaggingIterations=90, BreakTiesRandomly=false}	9.46%	90.01%	90.54%	90.17%	7080.00ms
{MaxDepth=13, NumFeatures=4, NumBaggingIterations=90, BreakTiesRandomly=true}	9.46%	90.01%	90.54%	90.16%	6840.60ms
{MaxDepth=13, NumFeatures=0, NumBaggingIterations=90, BreakTiesRandomly=true}	9.46%	90.01%	90.54%	90.16%	6860.70ms
{MaxDepth=15, NumFeatures=5, NumBaggingIterations=120, BreakTiesRandomly=true}	9.46%	90.03%	90.54%	90.15%	10861.40ms
{MaxDepth=13, NumFeatures=4, NumBaggingIterations=110, BreakTiesRandomly=true}	9.46%	89.99%	90.54%	90.15%	8432.70ms
{MaxDepth=13, NumFeatures=0, NumBaggingIterations=110, BreakTiesRandomly=true}	9.46%	89.99%	90.54%	90.15%	8441.50ms
{MaxDepth=14, NumFeatures=0, NumBaggingIterations=90, BreakTiesRandomly=true}	9.46%	89.98%	90.54%	90.15%	7003.90ms
{MaxDepth=14, NumFeatures=4, NumBaggingIterations=90, BreakTiesRandomly=true}	9.46%	89.98%	90.54%	90.15%	7018.80ms
{MaxDepth=0, NumFeatures=3, NumBaggingIterations=90, BreakTiesRandomly=false}	9.46%	89.97%	90.54%	90.15%	6897.00ms
{MaxDepth=14, NumFeatures=4, NumBaggingIterations=110, BreakTiesRandomly=false}	9.46%	89.96%	90.54%	90.11%	8612.60ms
{MaxDepth=14, NumFeatures=0, NumBaggingIterations=110, BreakTiesRandomly=false}	9.46%	89.96%	90.54%	90.11%	8614.20ms
{MaxDepth=14, NumFeatures=2, NumBaggingIterations=100, BreakTiesRandomly=true}	9.46%	89.95%	90.54%	90.10%	5774.50ms
{MaxDepth=0, NumFeatures=1, NumBaggingIterations=100, BreakTiesRandomly=false}	9.46%	89.93%	90.54%	90.10%	5680.60ms
{MaxDepth=0, NumFeatures=1, NumBaggingIterations=100, BreakTiesRandomly=true}	9.46%	89.93%	90.54%	90.10%	5732.80ms
{MaxDepth=13, NumFeatures=3, NumBaggingIterations=110, BreakTiesRandomly=false}	9.46%	89.93%	90.54%	90.09%	7210.90ms
{MaxDepth=13, NumFeatures=3, NumBaggingIterations=90, BreakTiesRandomly=false}	9.46%	89.91%	90.54%	90.09%	5890.20ms
{MaxDepth=15, NumFeatures=1, NumBaggingIterations=110, BreakTiesRandomly=true}	9.46%	89.92%	90.54%	90.08%	5732.10ms
{MaxDepth=15, NumFeatures=1, NumBaggingIterations=110, BreakTiesRandomly=false}	9.46%	89.92%	90.54%	90.08%	5739.60ms
{MaxDepth=14, NumFeatures=2, NumBaggingIterations=90, BreakTiesRandomly=false}	9.46%	89.90%	90.54%	90.07%	5168.90ms
