{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	11.31%	88.25%	88.69%	88.29%	1083.20ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	10.91%	88.89%	89.09%	88.90%	1051.70ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	11.35%	88.26%	88.65%	88.27%	1098.10ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	10.90%	88.92%	89.10%	88.92%	1029.60ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	11.31%	88.25%	88.69%	88.29%	1046.10ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	10.91%	88.89%	89.09%	88.90%	1115.20ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=false, UseLaplace=true, UseMDLCorrection=true}	11.35%	88.26%	88.65%	88.27%	1060.10ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	10.90%	88.92%	89.10%	88.92%	1034.50ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=false}	11.44%	88.04%	88.56%	88.12%	1247.10ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	10.91%	88.89%	89.09%	88.90%	988.70ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=false, UseLaplace=false, UseMDLCorrection=true}	11.46%	88.09%	88.54%	88.13%	1209.20ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	10.90%	88.92%	89.10%	88.92%	926.70ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=false, UseLaplace=true, UseMDLCorrection=false}	11.44%	88.04%	88.56%	88.12%	1249.00ms
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	10.91%	88.89%	89.09%	88.90%	990.50ms
