{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	11.41%	88.31%	88.59%	88.33%	5291.30ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	11.22%	88.48%	88.78%	88.53%	5267.00ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	11.01%	88.81%	88.99%	88.81%	7225.80ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.92%	88.78%	89.08%	88.84%	6819.20ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=false}	13.41%	85.89%	86.59%	86.05%	2557.30ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=false, MDLCorrection=true}	13.11%	86.21%	86.89%	86.36%	2567.10ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	11.01%	88.81%	88.99%	88.81%	7200.40ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.92%	88.78%	89.08%	88.84%	6815.70ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	11.41%	88.31%	88.59%	88.33%	4133.90ms
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=true}	11.22%	88.48%	88.78%	88.53%	4139.00ms
