Configuration	ErrorRate	Precision	Recall	F-Measure
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.92%	88.78%	89.08%	88.84%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.92%	88.78%	89.08%	88.84%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.92%	88.78%	89.08%	88.84%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.92%	88.78%	89.08%	88.84%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.92%	88.78%	89.08%	88.84%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.92%	88.78%	89.08%	88.84%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.92%	88.78%	89.08%	88.84%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.92%	88.78%	89.08%	88.84%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.92%	88.78%	89.08%	88.84%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.92%	88.78%	89.08%	88.84%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.92%	88.78%	89.08%	88.84%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.92%	88.78%	89.08%	88.84%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.92%	88.78%	89.08%	88.84%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.92%	88.78%	89.08%	88.84%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.92%	88.78%	89.08%	88.84%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.92%	88.78%	89.08%	88.84%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.93%	88.78%	89.07%	88.84%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.93%	88.78%	89.07%	88.84%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.93%	88.78%	89.07%	88.84%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.93%	88.78%	89.07%	88.84%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.93%	88.78%	89.07%	88.84%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.93%	88.78%	89.07%	88.84%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.93%	88.78%	89.07%	88.84%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.93%	88.78%	89.07%	88.84%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.93%	88.78%	89.07%	88.84%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.93%	88.78%	89.07%	88.84%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.93%	88.78%	89.07%	88.84%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.93%	88.78%	89.07%	88.84%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.93%	88.78%	89.07%	88.84%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.93%	88.78%	89.07%	88.84%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.93%	88.78%	89.07%	88.84%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.93%	88.78%	89.07%	88.84%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	10.99%	88.79%	89.01%	88.81%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	10.99%	88.79%	89.01%	88.81%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	10.99%	88.79%	89.01%	88.81%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	10.99%	88.79%	89.01%	88.81%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	11.01%	88.81%	88.99%	88.81%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	11.01%	88.81%	88.99%	88.81%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	11.01%	88.81%	88.99%	88.81%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	11.01%	88.81%	88.99%	88.81%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	11.01%	88.81%	88.99%	88.81%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	11.01%	88.81%	88.99%	88.81%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	11.01%	88.81%	88.99%	88.81%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	11.01%	88.81%	88.99%	88.81%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	11.01%	88.81%	88.99%	88.81%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	11.01%	88.81%	88.99%	88.81%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	11.01%	88.81%	88.99%	88.81%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	11.01%	88.81%	88.99%	88.81%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	11.01%	88.81%	88.99%	88.81%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	11.01%	88.81%	88.99%	88.81%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	11.01%	88.81%	88.99%	88.81%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	11.01%	88.81%	88.99%	88.81%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	11.02%	88.80%	88.98%	88.81%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	11.02%	88.80%	88.98%	88.81%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	11.02%	88.80%	88.98%	88.81%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	11.02%	88.80%	88.98%	88.81%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	11.02%	88.80%	88.98%	88.81%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	11.02%	88.80%	88.98%	88.81%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	11.02%	88.80%	88.98%	88.81%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	11.02%	88.80%	88.98%	88.81%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	11.02%	88.80%	88.98%	88.81%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	11.02%	88.80%	88.98%	88.81%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	11.02%	88.80%	88.98%	88.81%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	11.02%	88.80%	88.98%	88.81%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	11.02%	88.80%	88.98%	88.81%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	11.02%	88.80%	88.98%	88.81%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=false}	11.02%	88.80%	88.98%	88.81%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=false}	11.02%	88.80%	88.98%	88.81%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.80%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.80%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.80%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.80%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.80%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.80%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.80%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.80%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.80%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.80%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.80%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.80%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.80%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.80%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.80%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.80%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	11.00%	88.81%	89.00%	88.80%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	11.00%	88.81%	89.00%	88.80%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.79%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.79%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.79%
{ConfidenceFactor=0.1, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.79%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.79%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.79%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.79%
{ConfidenceFactor=0.2, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.79%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.79%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.79%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.79%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.79%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.79%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.79%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.79%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=1, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=true, Unpruned=true, MDLCorrection=true}	10.96%	88.72%	89.04%	88.79%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	11.00%	88.80%	89.00%	88.79%
{ConfidenceFactor=0.4, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	11.00%	88.80%	89.00%	88.79%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	11.01%	88.80%	88.99%	88.79%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=0, BinarySplits=true, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	11.01%	88.80%	88.99%	88.79%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=false, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	11.01%	88.77%	88.99%	88.78%
{ConfidenceFactor=0.3, MinNumObjPerLeaf=1, BinarySplits=false, DoNotMakeSplitPointActualValue=true, ReducedErrorPruning=false, Unpruned=false, MDLCorrection=false}	11.01%	88.77%	88.99%	88.78%
