{BatchSize=80, MaxDepth=1, NumFeatures=1, NumBaggingIterations=80, BreakTiesRandomly=false}	50.43%	24.64%	49.57%	32.92%	826.30ms
{BatchSize=80, MaxDepth=1, NumFeatures=1, NumBaggingIterations=80, BreakTiesRandomly=true}	50.43%	24.64%	49.57%	32.92%	851.70ms
{BatchSize=80, MaxDepth=1, NumFeatures=1, NumBaggingIterations=90, BreakTiesRandomly=false}	50.43%	24.64%	49.57%	32.92%	896.90ms
{BatchSize=80, MaxDepth=1, NumFeatures=1, NumBaggingIterations=90, BreakTiesRandomly=true}	50.43%	24.64%	49.57%	32.92%	918.30ms
{BatchSize=80, MaxDepth=1, NumFeatures=1, NumBaggingIterations=100, BreakTiesRandomly=false}	50.43%	24.64%	49.57%	32.92%	998.60ms
{BatchSize=80, MaxDepth=1, NumFeatures=1, NumBaggingIterations=100, BreakTiesRandomly=true}	50.43%	24.64%	49.57%	32.92%	1017.90ms
{BatchSize=80, MaxDepth=1, NumFeatures=1, NumBaggingIterations=110, BreakTiesRandomly=false}	50.42%	24.64%	49.58%	32.92%	1075.30ms
{BatchSize=80, MaxDepth=1, NumFeatures=1, NumBaggingIterations=110, BreakTiesRandomly=true}	50.42%	24.64%	49.58%	32.92%	1094.40ms
{BatchSize=80, MaxDepth=1, NumFeatures=1, NumBaggingIterations=120, BreakTiesRandomly=false}	50.43%	24.64%	49.57%	32.91%	1060.30ms
{BatchSize=80, MaxDepth=1, NumFeatures=1, NumBaggingIterations=120, BreakTiesRandomly=true}	50.43%	24.64%	49.57%	32.91%	1072.50ms
{BatchSize=80, MaxDepth=1, NumFeatures=2, NumBaggingIterations=80, BreakTiesRandomly=false}	50.47%	24.64%	49.53%	32.90%	908.60ms
{BatchSize=80, MaxDepth=1, NumFeatures=2, NumBaggingIterations=80, BreakTiesRandomly=true}	50.47%	24.64%	49.53%	32.90%	902.70ms
{BatchSize=80, MaxDepth=1, NumFeatures=2, NumBaggingIterations=90, BreakTiesRandomly=false}	50.48%	24.64%	49.52%	32.89%	1016.80ms
