@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
5,TITLE
2,BLUETOOTH_VERSION
2,DEVICE_TYPE
3,SIM_CARD_SLOT
2,OS
3,SIM_CARD_TYPE
1,BRAND
1,PRICE
1,WIRELESS_CONNECTIVITY
2,NETWORK_4G
2,NETWORK_3G
2,NETWORK_2G
1,NETWORK_TYPE
3,WIFI
1,BATTERY_CAPACITY
3,BATTERY_TYPE
2,RAM_CAPACITY
2,GPU
3,CPU
2,CPU_CORES
2,EXTERNAL_MEMORY
1,STORAGE_SSD
1,CAMERA_FRONT
3,CAMERA_BACK
2,WEIGHT
12,PRODUCT_SIZE
2,SCREEN_SIZE
1,SCREEN_PPI
1,SCREEN_TYPE
4,SCREEN_RESOLUTION
5,TITLE
1,BLUETOOTH_VERSION
2,OS
3,SIM_CARD_TYPE
1,BRAND
1,PRICE
1,WIRELESS_CONNECTIVITY
27,NETWORK_4G
11,NETWORK_3G
5,NETWORK_2G
1,NETWORK_TYPE
2,BATTERY_CAPACITY
2,RAM_CAPACITY
1,CPU
2,CPU_CORES
7,EXTERNAL_MEMORY
1,CAMERA_FRONT
1,CAMERA_BACK
2,WEIGHT
12,PRODUCT_SIZE
2,SCREEN_SIZE
3,SCREEN_TYPE
5,TITLE
2,OS
4,SIM_CARD_TYPE
1,BRAND
1,PRICE
1,WIRELESS_CONNECTIVITY
2,NETWORK_4G
2,NETWORK_3G
3,WIFI
3,BATTERY_CAPACITY
2,RAM_CAPACITY
1,CPU
2,CPU_CORES
1,STORAGE_SSD
3,CAMERA_FRONT
3,CAMERA_BACK
2,WEIGHT
12,PRODUCT_SIZE
3,SCREEN_TYPE
5,SCREEN_RESOLUTION
4,TITLE
2,DEVICE_TYPE
1,BRAND
1,PRICE
2,WIRELESS_CONNECTIVITY
1,NETWORK_TYPE
1,BATTERY_CAPACITY
2,GPU
1,CPU
5,EXTERNAL_MEMORY
1,CAMERA_FRONT
2,CAMERA_BACK
2,WEIGHT
12,PRODUCT_SIZE
5,TITLE
3,SIM_CARD_TYPE
1,PRICE
1,WIRELESS_CONNECTIVITY
2,NETWORK_4G
2,NETWORK_3G
2,NETWORK_2G
1,NETWORK_TYPE
3,WIFI
5,BATTERY_CAPACITY
1,BATTERY_TYPE
3,CPU
2,CPU_CORES
8,CAMERA_BACK
2,WEIGHT
12,PRODUCT_SIZE
1,SCREEN_PPI
4,TITLE
2,DEVICE_TYPE
1,PRICE
1,WIRELESS_CONNECTIVITY
11,NETWORK_4G
5,NETWORK_3G
1,NETWORK_TYPE
1,BATTERY_CAPACITY
2,RAM_CAPACITY
2,GPU
1,CPU
2,CPU_CORES
4,CAMERA_FRONT
6,CAMERA_BACK
2,WEIGHT
12,PRODUCT_SIZE
2,SCREEN_SIZE
5,SCREEN_TYPE
4,TITLE
2,OS
1,BRAND
1,PRICE
2,WIRELESS_CONNECTIVITY
2,NETWORK_4G
2,NETWORK_3G
4,BATTERY_CAPACITY
3,BATTERY_TYPE
1,GPU
2,CPU
2,CPU_CORES
