@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
5,29,TITLE
2,14,BLUETOOTH_VERSION
2,13,DEVICE_TYPE
3,21,SIM_CARD_SLOT
2,6,OS
3,13,SIM_CARD_TYPE
1,6,BRAND
1,7,PRICE
1,24,WIRELESS_CONNECTIVITY
2,25,NETWORK_4G
2,26,NETWORK_3G
2,24,NETWORK_2G
1,17,NETWORK_TYPE
3,31,WIFI
1,7,BATTERY_CAPACITY
3,41,BATTERY_TYPE
2,7,RAM_CAPACITY
2,10,GPU
3,23,CPU
2,17,CPU_CORES
2,13,EXTERNAL_MEMORY
1,4,STORAGE_SSD
1,5,CAMERA_FRONT
3,17,CAMERA_BACK
2,9,WEIGHT
12,50,PRODUCT_SIZE
2,9,SCREEN_SIZE
1,3,SCREEN_PPI
1,10,SCREEN_TYPE
4,17,SCREEN_RESOLUTION
5,34,TITLE
1,4,BLUETOOTH_VERSION
2,11,OS
3,14,SIM_CARD_TYPE
1,9,BRAND
1,7,PRICE
1,32,WIRELESS_CONNECTIVITY
27,197,NETWORK_4G
11,82,NETWORK_3G
5,45,NETWORK_2G
1,34,NETWORK_TYPE
2,16,BATTERY_CAPACITY
2,7,RAM_CAPACITY
1,7,CPU
2,16,CPU_CORES
7,33,EXTERNAL_MEMORY
1,5,CAMERA_FRONT
1,6,CAMERA_BACK
2,9,WEIGHT
12,50,PRODUCT_SIZE
2,8,SCREEN_SIZE
3,25,SCREEN_TYPE
5,28,TITLE
2,11,OS
4,19,SIM_CARD_TYPE
1,7,BRAND
1,6,PRICE
1,28,WIRELESS_CONNECTIVITY
2,29,NETWORK_4G
2,17,NETWORK_3G
3,29,WIFI
3,11,BATTERY_CAPACITY
2,7,RAM_CAPACITY
1,7,CPU
2,16,CPU_CORES
1,4,STORAGE_SSD
3,18,CAMERA_FRONT
3,18,CAMERA_BACK
2,9,WEIGHT
12,50,PRODUCT_SIZE
3,15,SCREEN_TYPE
5,19,SCREEN_RESOLUTION
4,23,TITLE
2,13,DEVICE_TYPE
1,6,BRAND
1,6,PRICE
2,35,WIRELESS_CONNECTIVITY
1,9,NETWORK_TYPE
1,7,BATTERY_CAPACITY
2,11,GPU
1,8,CPU
5,19,EXTERNAL_MEMORY
1,5,CAMERA_FRONT
2,13,CAMERA_BACK
2,9,WEIGHT
12,50,PRODUCT_SIZE
5,25,TITLE
3,13,SIM_CARD_TYPE
1,7,PRICE
1,38,WIRELESS_CONNECTIVITY
2,22,NETWORK_4G
