@RELATION products

@ATTRIBUTE numberOfWords NUMERIC
@ATTRIBUTE numberOfTotalCharacters NUMERIC
@ATTRIBUTE numberOfAlphabetCharacters NUMERIC
@ATTRIBUTE numberOfNumericCharacters NUMERIC
@ATTRIBUTE numberOfWhiteSpaceCharacters NUMERIC
@ATTRIBUTE class {BLUETOOTH_VERSION,RAM_TYPE,CPU_FREQ,CPU,OS_BITS,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,STORAGE_SSD,RAM_CAPACITY,EXTERNAL_MEMORY,COLOR,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,USB_VERSION,SIM_CARD_TYPE,BRAND,ETHERNET_SPEED,SCREEN_SIZE,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,STORAGE_HDD,TITLE,WIFI}

@data
5,29,21,4,4,TITLE
2,14,10,2,1,BLUETOOTH_VERSION
2,13,11,1,1,DEVICE_TYPE
3,21,18,0,2,SIM_CARD_SLOT
2,6,4,1,1,OS
3,13,11,0,2,SIM_CARD_TYPE
1,6,6,0,0,BRAND
1,7,0,5,0,PRICE
1,24,16,2,0,WIRELESS_CONNECTIVITY
2,25,9,12,1,NETWORK_4G
2,26,8,14,1,NETWORK_3G
2,24,6,14,1,NETWORK_2G
1,17,14,0,0,NETWORK_TYPE
3,31,20,5,2,WIFI
1,7,3,4,0,BATTERY_CAPACITY
3,41,36,0,2,BATTERY_TYPE
2,7,5,1,1,RAM_CAPACITY
2,10,6,3,1,GPU
3,23,18,3,2,CPU
2,17,11,3,1,CPU_CORES
2,13,12,0,1,EXTERNAL_MEMORY
1,4,2,2,0,STORAGE_SSD
1,5,2,2,0,CAMERA_FRONT
3,17,9,4,2,CAMERA_BACK
2,9,2,5,1,WEIGHT
12,50,12,19,12,PRODUCT_SIZE
2,9,4,3,1,SCREEN_SIZE
1,3,0,3,0,SCREEN_PPI
1,10,10,0,0,SCREEN_TYPE
4,17,4,8,3,SCREEN_RESOLUTION
5,34,25,5,4,TITLE
1,4,1,2,0,BLUETOOTH_VERSION
2,11,7,2,1,OS
3,14,12,0,2,SIM_CARD_TYPE
1,9,9,0,0,BRAND
1,7,0,5,0,PRICE
1,32,24,2,0,WIRELESS_CONNECTIVITY
27,197,91,68,26,NETWORK_4G
