{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=300, Decay=false, NormalizeAttributes=false}	69.00%	15.65%	31.00%	18.67%	293695.00ms
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=300, Decay=false, NormalizeAttributes=true}	20.59%	75.75%	79.41%	76.47%	305855.00ms
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=300, Decay=true, NormalizeAttributes=false}	43.10%	44.53%	56.90%	48.51%	296480.00ms
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=300, Decay=true, NormalizeAttributes=true}	44.20%	38.95%	55.80%	43.74%	302377.00ms
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=400, Decay=false, NormalizeAttributes=false}	71.99%	12.90%	28.01%	17.05%	389417.00ms
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=400, Decay=false, NormalizeAttributes=true}	19.80%	77.11%	80.20%	77.62%	392571.00ms
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=false}	42.64%	45.47%	57.36%	49.20%	391121.00ms
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=400, Decay=true, NormalizeAttributes=true}	44.05%	40.00%	55.95%	44.03%	396558.00ms
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=500, Decay=false, NormalizeAttributes=false}	71.99%	12.90%	28.01%	17.05%	449161.00ms
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=500, Decay=false, NormalizeAttributes=true}	19.55%	77.32%	80.45%	78.09%	462641.00ms
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=500, Decay=true, NormalizeAttributes=false}	42.43%	46.02%	57.57%	49.55%	457300.00ms
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=500, Decay=true, NormalizeAttributes=true}	43.75%	39.88%	56.25%	44.40%	464201.00ms
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=600, Decay=false, NormalizeAttributes=false}	71.99%	12.90%	28.01%	17.05%	538183.00ms
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=600, Decay=false, NormalizeAttributes=true}	19.07%	78.29%	80.93%	78.89%	557261.00ms
{HiddenLayers=a, LearningRate=0.1, Momentum=0.1, TrainingTime=600, Decay=true, NormalizeAttributes=false}	42.36%	46.03%	57.64%	49.63%	549459.00ms
